SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
PNEUMATIC,BE,2015-09-18,"4,433.80",665.1,665.1,631.85,631.85,631.85,631.89,"9,845","62,20,995.50",48,-,-
PNEUMATIC,BE,2015-09-21,631.85,600.3,600.3,600.3,600.3,600.3,600.3,4,"2,401.20",2,-,-
PNEUMATIC,BE,2015-09-22,600.30,570.3,570.3,570.3,570.3,570.3,570.3,32,"18,249.60",4,-,-
PNEUMATIC,BE,2015-09-23,570.30,541.8,541.8,541.8,541.8,541.8,541.8,2,"1,083.60",1,-,-
PNEUMATIC,BE,2015-09-24,541.80,514.75,514.75,514.75,514.75,514.75,514.75,"15,126","77,86,108.50",23,-,-
PNEUMATIC,BE,2015-09-28,514.75,489.05,534.9,489.05,489.05,489.05,489.1,"5,507","26,93,498.30",26,-,-
PNEUMATIC,BE,2015-09-29,489.05,464.6,470.0,464.6,464.6,464.6,467.45,"2,288","10,69,521.60",23,-,-
PNEUMATIC,BE,2015-09-30,464.60,441.4,441.4,441.4,441.4,441.4,441.4,927,"4,09,177.80",5,-,-
PNEUMATIC,BE,2015-10-01,441.40,419.35,463.45,419.35,419.35,424.9,425.02,"5,809","24,68,964.65",103,-,-
PNEUMATIC,EQ,2015-10-06,424.90,420.25,491.0,417.2,440.0,440.0,422.71,220,"92,995.90",15,153,69.55
PNEUMATIC,EQ,2015-10-07,440.00,417.5,445.0,411.0,411.1,411.1,420.1,253,"1,06,285.20",17,142,56.13
PNEUMATIC,EQ,2015-10-08,411.10,411.1,445.0,411.1,445.0,445.0,441.63,816,"3,60,374.05",23,738,90.44
PNEUMATIC,EQ,2015-10-09,445.00,445.0,445.0,420.0,440.0,428.55,435.8,313,"1,36,406.50",25,243,77.64
PNEUMATIC,EQ,2015-10-12,428.55,425.05,449.95,425.0,440.0,444.95,426.74,146,"62,304.75",23,141,96.58
PNEUMATIC,EQ,2015-10-13,444.95,444.85,444.9,444.85,444.9,444.85,444.88,10,"4,448.75",2,5,50.00
PNEUMATIC,EQ,2015-10-14,444.85,497.95,497.95,441.4,442.0,442.0,444.87,298,"1,32,569.95",8,298,100.00
PNEUMATIC,EQ,2015-10-15,442.00,435.0,440.0,435.0,440.0,440.0,439.91,109,"47,950.00",6,107,98.17
PNEUMATIC,EQ,2015-10-16,440.00,422.0,460.0,422.0,436.0,436.0,444.53,117,"52,009.50",6,111,94.87
PNEUMATIC,EQ,2015-10-19,436.00,420.05,440.0,420.05,425.0,428.3,429.8,317,"1,36,248.10",15,305,96.21
PNEUMATIC,EQ,2015-10-20,428.30,430.0,440.0,425.5,440.0,440.0,426.17,115,"49,010.00",5,115,100.00
PNEUMATIC,EQ,2015-10-21,440.00,425.5,440.0,425.5,440.0,440.0,439.13,168,"73,773.25",10,167,99.40
PNEUMATIC,EQ,2015-10-23,440.00,426.5,439.95,426.5,426.5,426.5,427.62,60,"25,657.25",4,60,100.00
PNEUMATIC,EQ,2015-10-26,426.50,420.0,440.0,420.0,439.95,439.95,439.69,380,"1,67,081.25",23,380,100.00
PNEUMATIC,EQ,2015-10-27,439.95,450.0,460.0,439.0,460.0,450.7,446.77,"1,027","4,58,834.25",55,"1,007",98.05
PNEUMATIC,EQ,2015-10-28,450.70,425.05,470.25,425.05,450.0,450.0,444.0,116,"51,504.15",8,83,71.55
PNEUMATIC,EQ,2015-10-29,450.00,469.0,469.0,425.75,440.0,433.5,434.42,469,"2,03,743.50",9,464,98.93
PNEUMATIC,EQ,2015-10-30,433.50,440.0,465.0,425.0,464.0,428.55,426.23,"1,459","6,21,876.00",17,"1,355",92.87
PNEUMATIC,EQ,2015-11-02,428.55,464.0,464.0,425.0,448.0,448.0,426.05,428,"1,82,350.00",14,425,99.30
PNEUMATIC,EQ,2015-11-03,448.00,425.0,440.0,425.0,426.0,439.95,439.88,"33,282","1,46,40,086.10",14,"33,282",100.00
PNEUMATIC,EQ,2015-11-04,439.95,425.2,425.2,425.1,425.1,425.1,425.18,129,"54,847.90",3,129,100.00
PNEUMATIC,EQ,2015-11-05,425.10,425.1,426.55,425.1,426.55,426.55,426.35,59,"25,154.85",3,59,100.00
PNEUMATIC,EQ,2015-11-06,426.55,426.55,449.0,425.0,425.0,431.85,427.14,26,"11,105.70",6,24,92.31
PNEUMATIC,EQ,2015-11-09,431.85,425.0,450.0,425.0,450.0,443.45,443.44,16,"7,095.00",3,16,100.00
PNEUMATIC,EQ,2015-11-10,443.45,460.0,460.0,423.0,450.0,450.0,429.25,106,"45,500.00",6,106,100.00
PNEUMATIC,EQ,2015-11-11,450.00,458.0,460.0,458.0,460.0,459.0,458.17,12,"5,498.00",4,11,91.67
PNEUMATIC,EQ,2015-11-13,459.00,423.0,423.05,406.0,406.0,406.0,420.51,27,"11,353.85",5,27,100.00
PNEUMATIC,EQ,2015-11-16,406.00,400.0,459.95,400.0,459.95,459.95,411.08,11,"4,521.90",5,9,81.82
PNEUMATIC,EQ,2015-11-18,459.95,411.0,457.95,411.0,457.95,418.8,418.82,96,"40,206.30",4,50,52.08
PNEUMATIC,EQ,2015-11-19,418.80,400.9,470.0,400.0,460.0,440.25,440.02,"10,298","45,31,305.90",18,"10,212",99.16
PNEUMATIC,EQ,2015-11-20,440.25,433.0,470.0,433.0,469.0,469.0,453.71,7,"3,176.00",6,4,57.14
PNEUMATIC,EQ,2015-11-23,469.00,562.0,562.0,460.0,469.0,469.0,470.03,188,"88,364.80",14,176,93.62
PNEUMATIC,EQ,2015-11-24,469.00,470.0,470.0,449.0,450.0,450.0,453.11,53,"24,015.00",4,53,100.00
PNEUMATIC,EQ,2015-11-26,450.00,477.0,510.0,451.1,490.0,490.0,487.0,177,"86,198.70",13,157,88.70
PNEUMATIC,EQ,2015-11-27,490.00,495.0,588.0,490.0,538.0,533.6,563.61,722,"4,06,928.90",44,426,59.00
PNEUMATIC,EQ,2015-11-30,533.60,538.0,560.0,490.0,560.0,545.8,524.03,487,"2,55,200.60",24,196,40.25
PNEUMATIC,EQ,2015-12-01,545.80,625.0,625.0,553.0,608.0,585.9,581.88,186,"1,08,229.30",42,72,38.71
PNEUMATIC,EQ,2015-12-02,585.90,560.05,635.0,560.05,590.25,590.25,603.26,716,"4,31,936.00",35,535,74.72
PNEUMATIC,EQ,2015-12-03,590.25,620.0,620.0,562.1,615.0,585.35,581.23,265,"1,54,026.80",18,203,76.60
PNEUMATIC,EQ,2015-12-04,585.35,561.0,600.0,561.0,566.0,566.0,573.85,195,"1,11,900.00",10,105,53.85
PNEUMATIC,EQ,2015-12-07,566.00,599.95,599.95,559.5,580.0,565.7,567.73,239,"1,35,686.80",12,180,75.31
PNEUMATIC,EQ,2015-12-08,565.70,580.0,595.0,485.9,590.0,590.0,578.25,"6,927","40,05,552.25",39,"6,693",96.62
PNEUMATIC,EQ,2015-12-09,590.00,590.0,596.0,570.0,575.0,573.2,580.08,"8,198","47,55,501.00",40,"8,187",99.87
PNEUMATIC,EQ,2015-12-10,573.20,576.0,576.0,560.0,560.0,560.0,572.0,"1,640","9,38,078.00",21,"1,550",94.51
PNEUMATIC,EQ,2015-12-11,560.00,560.0,560.0,560.0,560.0,560.0,560.0,500,"2,80,000.00",1,500,100.00
PNEUMATIC,EQ,2015-12-14,560.00,551.1,585.0,530.1,532.1,532.45,551.08,"1,122","6,18,316.90",16,"1,109",98.84
PNEUMATIC,EQ,2015-12-15,532.45,544.0,545.0,540.0,540.0,540.0,544.26,"1,225","6,66,720.00",10,"1,225",100.00
PNEUMATIC,EQ,2015-12-16,540.00,545.0,577.0,540.0,575.0,574.5,564.59,"1,354","7,64,457.90",25,"1,271",93.87
PNEUMATIC,EQ,2015-12-17,574.50,565.0,600.0,565.0,578.0,579.95,588.2,"1,450","8,52,893.50",42,"1,369",94.41
PNEUMATIC,EQ,2015-12-18,579.95,570.0,589.7,566.0,570.6,570.6,566.87,753,"4,26,856.60",8,691,91.77
PNEUMATIC,EQ,2015-12-21,570.60,550.4,597.9,550.4,555.05,565.8,564.39,81,"45,715.50",11,56,69.14
PNEUMATIC,EQ,2015-12-22,565.80,560.0,560.25,560.0,560.0,560.0,560.11,59,"33,046.25",4,59,100.00
PNEUMATIC,EQ,2015-12-23,560.00,614.0,652.0,565.0,565.0,565.0,620.27,68,"42,178.35",15,35,51.47
PNEUMATIC,EQ,2015-12-24,565.00,560.0,560.0,556.0,560.0,560.0,559.99,604,"3,38,235.95",23,603,99.83
PNEUMATIC,EQ,2015-12-28,560.00,560.0,570.0,555.0,570.0,570.0,555.29,68,"37,760.00",4,67,98.53
PNEUMATIC,EQ,2015-12-29,570.00,560.0,585.0,560.0,585.0,578.0,562.18,637,"3,58,109.50",7,557,87.44
PNEUMATIC,EQ,2015-12-30,578.00,585.0,590.0,570.0,590.0,578.25,582.26,84,"48,910.00",5,84,100.00
PNEUMATIC,EQ,2015-12-31,578.25,560.1,620.0,560.0,619.0,619.0,585.5,529,"3,09,726.95",24,250,47.26
PNEUMATIC,EQ,2016-01-04,619.00,620.00,624.50,586.00,621.00,621.00,619.89,237,"1,46,913.70",15,227,95.78
PNEUMATIC,EQ,2016-01-05,621.00,600.05,690.00,600.00,690.00,687.85,669.35,"1,010","6,76,048.35",34,989,97.92
PNEUMATIC,EQ,2016-01-06,687.85,824.00,824.00,680.00,682.00,702.00,711.36,741,"5,27,116.20",79,448,60.46
PNEUMATIC,EQ,2016-01-07,702.00,682.00,700.00,671.15,677.10,677.10,683.43,11,"7,517.70",6,6,54.55
PNEUMATIC,EQ,2016-01-08,677.10,676.05,690.00,671.05,671.15,675.95,676.09,537,"3,63,058.95",26,456,84.92
PNEUMATIC,EQ,2016-01-11,675.95,711.95,712.00,670.00,677.00,677.00,678.12,150,"1,01,718.55",14,85,56.67
PNEUMATIC,EQ,2016-01-12,677.00,672.75,793.70,650.00,780.00,767.35,700.84,"1,358","9,51,739.95",88,"1,058",77.91
PNEUMATIC,EQ,2016-01-13,767.35,789.00,789.00,750.15,759.00,759.00,762.05,101,"76,967.10",9,61,60.40
PNEUMATIC,EQ,2016-01-14,759.00,710.05,715.05,710.00,715.05,715.05,712.53,36,"25,651.15",4,18,50.00
PNEUMATIC,EQ,2016-01-15,715.05,715.05,750.00,675.00,689.95,686.65,714.47,104,"74,305.25",23,11,10.58
PNEUMATIC,EQ,2016-01-18,686.65,672.00,699.00,670.00,699.00,699.00,671.40,245,"1,64,492.35",12,219,89.39
PNEUMATIC,EQ,2016-01-19,699.00,672.15,740.00,670.00,740.00,740.00,673.04,148,"99,610.25",16,132,89.19
PNEUMATIC,EQ,2016-01-20,740.00,671.05,739.00,670.00,671.40,670.35,671.19,164,"1,10,075.05",15,157,95.73
PNEUMATIC,EQ,2016-01-21,670.35,735.00,750.00,735.00,750.00,740.00,740.00,3,"2,220.00",2,3,100.00
PNEUMATIC,EQ,2016-01-22,740.00,673.10,729.95,673.05,680.10,680.10,697.00,14,"9,758.05",9,6,42.86
PNEUMATIC,EQ,2016-01-25,680.10,779.00,779.00,674.25,680.15,693.20,709.35,21,"14,896.35",15,8,38.10
PNEUMATIC,EQ,2016-01-27,693.20,724.50,831.00,722.00,831.00,826.60,801.64,611,"4,89,803.95",61,483,79.05
PNEUMATIC,EQ,2016-01-28,826.60,846.95,850.00,804.50,810.00,819.35,832.48,352,"2,93,034.25",32,193,54.83
PNEUMATIC,EQ,2016-01-29,819.35,801.00,801.00,757.00,779.90,779.90,783.30,32,"25,065.70",9,18,56.25
PNEUMATIC,EQ,2016-02-01,779.90,744.00,780.00,741.60,742.00,748.05,763.74,209,"1,59,622.55",19,197,94.26
PNEUMATIC,EQ,2016-02-02,748.05,742.00,742.00,715.50,730.00,730.00,728.92,63,"45,921.80",14,40,63.49
PNEUMATIC,EQ,2016-02-03,730.00,755.00,789.90,755.00,789.90,776.10,765.56,12,"9,186.70",4,6,50.00
PNEUMATIC,EQ,2016-02-04,776.10,797.35,797.35,681.05,700.00,709.40,716.25,39,"27,933.75",17,26,66.67
PNEUMATIC,EQ,2016-02-05,709.40,765.00,765.00,670.00,681.30,681.35,678.31,131,"88,859.10",25,112,85.50
PNEUMATIC,EQ,2016-02-08,681.35,728.50,728.50,670.00,670.05,670.05,678.53,113,"76,673.65",21,102,90.27
PNEUMATIC,EQ,2016-02-09,670.05,700.00,700.00,675.00,675.00,675.00,675.96,26,"17,575.05",5,25,96.15
PNEUMATIC,EQ,2016-02-10,675.00,705.00,739.95,675.00,739.95,715.00,718.34,79,"56,748.50",16,61,77.22
PNEUMATIC,EQ,2016-02-11,715.00,675.00,740.00,670.00,697.00,699.65,701.28,559,"3,92,017.75",44,437,78.18
PNEUMATIC,EQ,2016-02-12,699.65,670.00,700.00,670.00,670.00,670.00,692.07,559,"3,86,868.95",11,549,98.21
PNEUMATIC,EQ,2016-02-15,670.00,735.95,740.00,700.00,714.90,717.40,722.95,675,"4,87,991.00",25,460,68.15
PNEUMATIC,EQ,2016-02-16,717.40,710.00,714.00,710.00,714.00,714.00,712.00,2,"1,424.00",2,2,100.00
PNEUMATIC,EQ,2016-02-17,714.00,692.60,692.60,680.00,685.00,685.00,685.63,306,"2,09,801.45",9,228,74.51
PNEUMATIC,EQ,2016-02-18,685.00,678.00,685.00,670.00,670.00,670.00,673.53,273,"1,83,872.35",18,138,50.55
PNEUMATIC,EQ,2016-02-19,670.00,670.00,712.00,670.00,690.00,690.00,696.10,677,"4,71,261.45",26,573,84.64
PNEUMATIC,EQ,2016-02-22,690.00,699.85,725.00,663.60,725.00,694.00,694.04,308,"2,13,764.45",19,255,82.79
PNEUMATIC,EQ,2016-02-23,694.00,699.95,700.00,699.95,700.00,700.00,700.00,41,"28,699.95",4,40,97.56
PNEUMATIC,EQ,2016-02-24,700.00,699.00,720.00,655.85,720.00,704.45,704.46,102,"71,854.85",7,100,98.04
PNEUMATIC,EQ,2016-02-25,704.45,722.85,722.85,661.00,662.10,662.10,673.40,26,"17,508.50",8,12,46.15
PNEUMATIC,EQ,2016-02-26,662.10,652.95,690.00,652.90,690.00,688.75,684.60,115,"78,729.00",7,105,91.30
PNEUMATIC,EQ,2016-02-29,688.75,662.00,665.00,662.00,664.05,664.05,663.78,4,"2,655.10",4,2,50.00
