SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
RAINCALCIN,EQ,1997-05-21,-,8.75,8.8,8.5,-,8.5,8.67,"2,600","22,530.00",-,-,-
RAINCALCIN,EQ,1997-05-22,8.50,9.0,9.0,8.5,-,8.5,8.79,900,"7,910.00",-,-,-
RAINCALCIN,EQ,1997-05-23,8.50,9.1,9.1,8.3,-,8.75,8.56,"1,500","12,840.00",-,-,-
RAINCALCIN,EQ,1997-05-26,8.75,8.9,8.9,8.0,-,8.0,8.13,"1,500","12,190.00",-,-,-
RAINCALCIN,EQ,1997-05-27,8.00,7.5,7.5,7.05,-,7.1,7.28,"1,500","10,920.00",-,-,-
RAINCALCIN,EQ,1997-05-28,7.10,7.95,7.95,7.95,-,7.95,7.95,100,795.00,-,-,-
RAINCALCIN,EQ,1997-05-29,7.95,8.0,8.0,7.7,-,8.0,7.84,500,"3,920.00",-,-,-
RAINCALCIN,EQ,1997-06-02,8.00,8.5,9.0,8.5,-,8.7,8.84,"2,800","24,745.00",-,-,-
RAINCALCIN,EQ,1997-06-03,8.70,9.0,9.0,8.5,-,8.5,8.73,300,"2,620.00",-,-,-
RAINCALCIN,EQ,1997-06-04,8.50,8.5,9.0,8.5,-,8.95,8.81,"1,300","11,455.00",-,-,-
RAINCALCIN,EQ,1997-06-05,8.95,9.0,9.0,8.75,-,8.75,8.84,"1,400","12,375.00",-,-,-
RAINCALCIN,EQ,1997-06-06,8.75,8.6,8.6,8.5,-,8.5,8.57,300,"2,570.00",-,-,-
RAINCALCIN,EQ,1997-06-09,8.50,8.45,8.45,8.45,-,8.45,8.45,100,845.00,-,-,-
RAINCALCIN,EQ,1997-06-10,8.45,8.45,9.1,8.45,-,9.1,8.93,"1,400","12,505.00",-,-,-
RAINCALCIN,EQ,1997-06-11,9.10,8.7,9.05,8.65,-,9.05,8.75,"1,100","9,620.00",-,-,-
RAINCALCIN,EQ,1997-06-13,9.05,8.9,8.9,8.9,-,8.9,8.9,"1,000","8,900.00",-,-,-
RAINCALCIN,EQ,1997-06-17,8.90,8.5,8.5,8.5,-,8.5,8.5,600,"5,100.00",-,-,-
RAINCALCIN,EQ,1997-06-18,8.50,8.0,8.5,8.0,-,8.5,8.3,"1,400","11,625.00",-,-,-
RAINCALCIN,EQ,1997-06-19,8.50,8.25,8.25,8.0,-,8.25,8.18,"1,500","12,275.00",-,-,-
RAINCALCIN,EQ,1997-06-23,8.25,9.1,9.1,9.1,-,9.1,9.1,300,"2,730.00",-,-,-
RAINCALCIN,EQ,1997-06-24,9.10,10.25,10.5,10.1,-,10.3,10.42,"4,300","44,810.00",-,-,-
RAINCALCIN,EQ,1997-06-25,10.30,10.75,11.0,10.25,-,10.3,10.72,"12,100","1,29,655.00",-,-,-
RAINCALCIN,EQ,1997-06-26,10.30,10.75,11.3,10.55,-,11.25,10.95,"18,400","2,01,550.00",-,-,-
RAINCALCIN,EQ,1997-06-27,11.25,11.5,11.9,10.55,-,10.6,11.15,"15,300","1,70,645.00",-,-,-
RAINCALCIN,EQ,1997-06-30,10.60,10.8,10.8,10.35,-,10.45,10.62,"6,200","65,840.00",-,-,-
RAINCALCIN,EQ,1997-07-01,10.45,10.3,10.4,10.0,-,10.0,10.21,"5,400","55,120.00",-,-,-
RAINCALCIN,EQ,1997-07-02,10.00,10.8,11.0,10.5,-,10.55,10.78,"11,300","1,21,780.00",-,-,-
RAINCALCIN,EQ,1997-07-03,10.55,10.8,11.0,10.0,-,10.25,10.32,"13,200","1,36,255.00",-,-,-
