SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
RAMGOPOLY,EQ,1996-01-03,11.0,11.05,11.05,11.05,-,11.05,11.05,500,"5,525.00",-,-,-
RAMGOPOLY,EQ,1996-01-04,11.05,10.8,10.8,10.8,-,10.8,10.8,100,"1,080.00",-,-,-
RAMGOPOLY,EQ,1996-04-19,10.8,10.8,10.8,10.8,-,10.8,10.8,200,"2,160.00",-,-,-
RAMGOPOLY,EQ,1996-06-06,10.8,10.0,10.0,10.0,-,10.0,10.0,300,"3,000.00",-,-,-
RAMGOPOLY,EQ,1996-08-28,10.0,9.0,9.0,9.0,-,9.0,9.0,500,"4,500.00",-,-,-
RAMGOPOLY,EQ,1996-08-29,9.0,8.1,8.1,8.1,-,8.1,8.1,500,"4,050.00",-,-,-
RAMGOPOLY,EQ,1996-09-05,8.1,7.25,7.25,7.25,-,7.25,7.25,100,725.00,-,-,-
RAMGOPOLY,EQ,1996-09-06,7.25,6.5,6.5,6.5,-,6.5,6.5,100,650.00,-,-,-
RAMGOPOLY,EQ,1996-09-09,6.5,5.9,5.9,5.85,-,5.9,5.88,200,"1,175.00",-,-,-
RAMGOPOLY,EQ,1996-09-10,5.9,5.35,5.35,5.35,-,5.35,5.35,100,535.00,-,-,-
RAMGOPOLY,EQ,1996-09-13,5.35,5.35,5.35,5.35,-,5.35,5.35,200,"1,070.00",-,-,-
RAMGOPOLY,EQ,1996-09-16,5.35,5.1,5.1,5.1,-,5.1,5.1,100,510.00,-,-,-
RAMGOPOLY,EQ,1996-09-18,5.1,4.95,4.95,4.95,-,4.95,4.95,700,"3,465.00",-,-,-
RAMGOPOLY,EQ,1996-09-19,4.95,4.75,5.0,4.75,-,4.9,4.86,"1,800","8,745.00",-,-,-
RAMGOPOLY,EQ,1996-09-23,4.9,4.75,4.75,4.75,-,4.75,4.75,100,475.00,-,-,-
RAMGOPOLY,EQ,1996-09-24,4.75,4.75,4.75,4.75,-,4.75,4.75,100,475.00,-,-,-
RAMGOPOLY,EQ,1996-10-17,4.75,4.75,4.75,4.75,-,4.75,4.75,100,475.00,-,-,-
RAMGOPOLY,EQ,1996-11-20,4.75,4.75,4.75,4.75,-,4.75,4.75,100,475.00,-,-,-
RAMGOPOLY,EQ,1997-01-08,4.75,7.0,7.0,7.0,-,7.0,7.0,100,700.00,-,-,-
RAMGOPOLY,EQ,1997-01-09,7.0,6.0,6.0,5.0,-,5.45,5.29,"1,300","6,880.00",-,-,-
RAMGOPOLY,EQ,1997-01-10,5.45,6.0,6.9,6.0,-,6.05,6.2,"4,500","27,905.00",-,-,-
RAMGOPOLY,EQ,1997-01-13,6.05,6.0,6.0,6.0,-,6.0,6.0,"1,300","7,800.00",-,-,-
RAMGOPOLY,EQ,1997-01-14,6.0,6.0,6.25,6.0,-,6.1,6.12,"1,000","6,120.00",-,-,-
RAMGOPOLY,EQ,1997-01-15,6.1,5.9,6.0,5.0,-,5.95,5.43,"2,600","14,130.00",-,-,-
RAMGOPOLY,EQ,1997-01-16,5.95,6.0,6.0,5.45,-,5.8,5.77,"2,400","13,840.00",-,-,-
RAMGOPOLY,EQ,1997-01-17,5.8,5.5,5.5,5.0,-,5.25,5.16,"2,900","14,975.00",-,-,-
RAMGOPOLY,EQ,1997-01-20,5.25,4.55,5.0,4.55,-,5.0,4.85,"1,500","7,275.00",-,-,-
RAMGOPOLY,EQ,1997-01-21,5.0,5.0,5.15,4.6,-,4.6,4.91,"1,400","6,880.00",-,-,-
RAMGOPOLY,EQ,1997-01-22,4.6,5.15,5.2,5.15,-,5.2,5.16,800,"4,125.00",-,-,-
RAMGOPOLY,EQ,1997-01-24,5.2,5.05,5.05,4.5,-,4.5,4.75,"1,300","6,175.00",-,-,-
RAMGOPOLY,EQ,1997-01-27,4.5,4.7,4.75,4.7,-,4.75,4.71,700,"3,300.00",-,-,-
RAMGOPOLY,EQ,1997-01-28,4.75,4.35,4.35,4.35,-,4.35,4.35,100,435.00,-,-,-
RAMGOPOLY,EQ,1997-01-30,4.35,4.5,4.5,4.5,-,4.5,4.5,500,"2,250.00",-,-,-
RAMGOPOLY,EQ,1997-02-05,4.5,4.05,4.05,4.05,-,4.05,4.05,"10,000","40,500.00",-,-,-
RAMGOPOLY,EQ,1997-02-06,4.05,4.25,4.25,4.25,-,4.25,4.25,100,425.00,-,-,-
RAMGOPOLY,EQ,1997-02-07,4.25,4.0,4.0,4.0,-,4.0,4.0,100,400.00,-,-,-
RAMGOPOLY,EQ,1997-02-10,4.0,4.0,4.6,4.0,-,4.5,4.37,500,"2,185.00",-,-,-
RAMGOPOLY,EQ,1997-02-11,4.5,4.0,4.0,4.0,-,4.0,4.0,100,400.00,-,-,-
RAMGOPOLY,EQ,1997-02-12,4.0,4.25,4.25,4.25,-,4.25,4.25,900,"3,825.00",-,-,-
RAMGOPOLY,EQ,1997-02-13,4.25,4.45,4.5,4.45,-,4.5,4.49,400,"1,795.00",-,-,-
RAMGOPOLY,EQ,1997-02-14,4.5,4.45,4.5,4.4,-,4.5,4.45,"11,400","50,780.00",-,-,-
RAMGOPOLY,EQ,1997-03-05,4.5,4.5,4.5,4.5,-,4.5,4.5,200,900.00,-,-,-
RAMGOPOLY,EQ,1997-03-12,4.5,3.95,3.95,3.95,-,3.95,3.95,100,395.00,-,-,-
RAMGOPOLY,EQ,1997-03-17,3.95,3.5,3.5,3.5,-,3.5,3.5,500,"1,750.00",-,-,-
RAMGOPOLY,EQ,1997-03-21,3.5,3.45,3.45,3.45,-,3.45,3.45,"2,800","9,660.00",-,-,-
RAMGOPOLY,EQ,1997-04-01,3.45,3.4,3.4,3.4,-,3.4,3.4,100,340.00,-,-,-
RAMGOPOLY,EQ,1997-04-02,3.4,3.2,3.2,3.0,-,3.0,3.13,300,940.00,-,-,-
RAMGOPOLY,EQ,1997-04-03,3.0,3.0,3.25,3.0,-,3.25,3.16,"1,500","4,745.00",-,-,-
RAMGOPOLY,EQ,1997-04-04,3.25,3.25,3.25,3.25,-,3.25,3.25,100,325.00,-,-,-
RAMGOPOLY,EQ,1997-04-07,3.25,3.1,3.1,3.0,-,3.05,3.08,800,"2,460.00",-,-,-
RAMGOPOLY,EQ,1997-04-09,3.05,3.45,3.45,3.45,-,3.45,3.45,500,"1,725.00",-,-,-
RAMGOPOLY,EQ,1997-04-10,3.45,3.4,3.4,3.4,-,3.4,3.4,500,"1,700.00",-,-,-
RAMGOPOLY,EQ,1997-04-17,3.4,3.55,3.55,3.55,-,3.55,3.55,100,355.00,-,-,-
RAMGOPOLY,EQ,1997-04-21,3.55,3.4,3.4,3.25,-,3.25,3.3,300,990.00,-,-,-
RAMGOPOLY,EQ,1997-04-22,3.25,3.0,3.0,3.0,-,3.0,3.0,100,300.00,-,-,-
RAMGOPOLY,EQ,1997-04-23,3.0,2.75,2.75,2.75,-,2.75,2.75,100,275.00,-,-,-
RAMGOPOLY,EQ,1997-04-24,2.75,2.75,2.75,2.75,-,2.75,2.75,100,275.00,-,-,-
