SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
REGAAL,EQ,20-08-2025,102.0,141.0,145.7,130.25,131.9,131.58,137.19,"4,69,08,688","6,43,55,74,228.80","2,64,399","1,78,18,955",37.99
REGAAL,EQ,21-08-2025,131.58,132.8,137.4,126.0,126.5,126.81,132.26,11779468,15579.12,77250, 2965392,25.17
REGAAL,EQ,22-08-2025,126.81,127.68,129.7,123.1,124.0,124.08,125.53,5443113,6832.7,41766, 1413896,25.98
REGAAL,EQ,25-08-2025,124.08,125.1,125.88,118.61,119.1,119.7,121.13,4588197,5557.84,38412, 1367388,29.8
REGAAL,EQ,26-08-2025,119.7,118.5,119.2,110.39,112.8,112.29,114.07,5155197,5880.36,41510, 1697510,32.93
REGAAL,EQ,28-08-2025,112.29,113.2,118.0,108.72,116.0,115.63,114.24,7082344,8091.09,52231, 1287641,18.18
REGAAL,EQ,29-08-2025,115.63,117.0,119.34,112.31,114.4,114.01,115.28,2251904,2595.89,18753, 616813,27.39
REGAAL,EQ,01-09-2025,114.01,114.7,114.95,110.02,110.85,110.84,112.04,1723306,1930.85,16043, 649672,37.7
REGAAL,EQ,02-09-2025,110.84,111.4,112.85,109.51,109.68,109.97,110.99,1570655,1743.29,13774, 520323,33.13
REGAAL,EQ,03-09-2025,109.97,109.96,111.78,108.02,110.29,110.19,109.88,2053989,2257.01,16778, 500688,24.38
REGAAL,EQ,04-09-2025,110.19,111.5,112.14,107.52,107.6,108.14,109.25,1007662,1100.83,10228, 414577,41.14
REGAAL,EQ,05-09-2025,108.14,108.59,108.71,104.98,105.25,105.47,106.52,1358325,1446.87,13083, 477450,35.15
REGAAL,EQ,08-09-2025,105.47,105.89,113.75,104.5,110.7,110.58,110.54,3260561,3604.22,27573, 600909,18.43
REGAAL,EQ,09-09-2025,110.58,111.4,112.1,107.51,108.99,109.52,110.34,1736330,1915.87,15792, 424981,24.48
REGAAL,EQ,10-09-2025,109.52,108.5,109.01,106.0,106.6,106.8,107.35,1580168,1696.39,13868, 583530,36.93
REGAAL,EQ,11-09-2025,106.8,106.9,111.88,106.48,106.95,107.5,108.72,1916326,2083.41,14161, 428492,22.36
REGAAL,EQ,12-09-2025,107.5,107.51,109.0,106.35,106.73,106.71,107.48,814650,875.59,7134, 324899,39.88
REGAAL,EQ,15-09-2025,106.71,107.25,107.66,106.0,106.2,106.19,106.68,893142,952.78,8503, 252366,28.26
REGAAL,EQ,16-09-2025,106.19,106.5,107.29,105.6,106.19,105.92,106.28,860496,914.55,7034, 293185,34.07
REGAAL,EQ,17-09-2025,105.92,105.3,106.47,104.21,104.5,104.76,105.08,1506095,1582.62,10276, 671438,44.58
REGAAL,EQ,12-09-2025,107.5,107.51,109.0,106.35,106.73,106.71,107.48,814650,875.59,7134, 324899,39.88
REGAAL,EQ,18-09-2025,104.76,105.0,105.7,102.15,103.0,103.15,103.86,1045201,1085.56,8707, 480974,46.02
REGAAL,EQ,17-09-2025,105.92,105.3,106.47,104.21,104.5,104.76,105.08,1506095,1582.62,10276, 671438,44.58
REGAAL,EQ,08-09-2025,105.47,105.89,113.75,104.5,110.7,110.58,110.54,3260561,3604.22,27573, 600909,18.43
REGAAL,EQ,15-09-2025,106.71,107.25,107.66,106.0,106.2,106.19,106.68,893142,952.78,8503, 252366,28.26
REGAAL,EQ,10-09-2025,109.52,108.5,109.01,106.0,106.6,106.8,107.35,1580168,1696.39,13868, 583530,36.93
REGAAL,EQ,09-09-2025,110.58,111.4,112.1,107.51,108.99,109.52,110.34,1736330,1915.87,15792, 424981,24.48
REGAAL,EQ,16-09-2025,106.19,106.5,107.29,105.6,106.19,105.92,106.28,860496,914.55,7034, 293185,34.07
REGAAL,EQ,05-09-2025,108.14,108.59,108.71,104.98,105.25,105.47,106.52,1358325,1446.87,13083, 477450,35.15
REGAAL,EQ,11-09-2025,106.8,106.9,111.88,106.48,106.95,107.5,108.72,1916326,2083.41,14161, 428492,22.36
REGAAL,EQ,19-09-2025,103.15,103.1,105.5,102.5,104.4,104.3,104.1,1302146,1355.52,10029, 442011,33.94
