SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
RNBDENIMS,EQ,2025-09-04,110.56,113.01,128.98,100.41,102.97,103.35,111.82,"1,66,945","1,86,68,077.61","3,927","75,207",45.05
RNBDENIMS,EQ,2025-09-05,103.35,104.35,104.35,98.41,103.8,100.14,101.05,23793,24.04,989, 7082,29.77
RNBDENIMS,EQ,2025-09-08,100.14,100.8,103.98,97.81,102.0,102.28,102.19,7156,7.31,451, 2986,41.73
RNBDENIMS,EQ,2025-09-09,102.28,103.8,120.0,97.55,109.0,109.75,113.15,396195,448.28,6535, 44909,11.34
RNBDENIMS,EQ,2025-09-10,109.75,109.47,112.79,106.13,106.25,108.76,108.54,27394,29.73,813, 12120,44.24
RNBDENIMS,EQ,2025-09-11,108.76,107.15,116.0,106.94,111.45,112.13,112.47,58979,66.34,2043, 26290,44.58
RNBDENIMS,EQ,2025-09-12,112.13,111.0,118.2,111.0,115.58,115.54,115.51,48729,56.29,2167, 18416,37.79
RNBDENIMS,EQ,2025-09-15,115.54,116.0,121.0,114.32,117.0,117.1,117.94,43910,51.79,4715, 7242,16.49
RNBDENIMS,EQ,2025-09-16,117.1,118.85,118.85,115.44,117.0,117.27,117.07,8176,9.57,847, 3130,38.28
RNBDENIMS,EQ,2025-09-17,117.27,118.15,122.0,111.1,113.2,112.67,116.4,41690,48.53,2262, 20525,49.23
RNBDENIMS,EQ,2025-09-18,112.67,112.0,121.0,112.0,115.0,115.32,116.79,25633,29.94,1859, 7862,30.67
RNBDENIMS,EQ,2025-09-19,115.32,115.0,119.8,112.5,113.01,113.41,115.96,33763,39.15,2828, 8894,26.34
RNBDENIMS,EQ,2025-09-22,113.41,115.68,120.39,111.7,115.25,117.81,114.11,190765,217.69,3822, 149288,78.26
RNBDENIMS,EQ,2025-09-23,117.81,121.63,136.8,112.3,115.02,115.53,122.09,307522,375.44,5233, 112665,36.64
RNBDENIMS,EQ,2025-09-24,115.53,116.43,118.42,113.93,115.78,115.04,115.85,15086,17.48,972, 7430,49.25
RNBDENIMS,EQ,2025-09-25,115.04,112.5,116.87,112.5,115.0,115.12,115.18,14521,16.72,541, 9811,67.56
RNBDENIMS,EQ,2025-09-26,115.12,117.4,121.0,115.4,117.0,117.07,117.91,40242,47.45,1355, 30856,76.68
