SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
SARASIND,EQ,09-05-1997,"2,575.00",95.0,95.0,95.0,-,95.0,95.0,50,"4,750.00",-,-,-
SARASIND,EQ,12-05-1997,95.00,95.0,104.0,95.0,-,96.1,98.86,"4,050","4,00,397.50",-,-,-
SARASIND,EQ,13-05-1997,96.10,96.1,99.0,96.1,-,99.0,98.03,"2,250","2,20,560.00",-,-,-
SARASIND,EQ,14-05-1997,99.00,102.75,102.9,92.75,-,93.95,95.2,"1,500","1,42,805.00",-,-,-
SARASIND,EQ,15-05-1997,93.95,95.75,96.6,94.05,-,94.05,95.26,"1,050","1,00,022.50",-,-,-
SARASIND,EQ,16-05-1997,94.05,91.0,95.0,91.0,-,93.0,93.34,"1,800","1,68,010.00",-,-,-
SARASIND,EQ,19-05-1997,93.00,91.25,93.0,91.25,-,92.2,91.98,"2,000","1,83,965.00",-,-,-
SARASIND,EQ,20-05-1997,92.20,90.25,93.8,90.25,-,91.15,92.19,"1,450","1,33,680.00",-,-,-
SARASIND,EQ,21-05-1997,91.15,91.0,94.0,91.0,-,93.85,93.41,"1,650","1,54,132.50",-,-,-
SARASIND,EQ,22-05-1997,93.85,90.5,92.8,90.5,-,92.7,92.05,850,"78,240.00",-,-,-
SARASIND,EQ,23-05-1997,92.70,92.0,92.0,91.5,-,91.5,91.67,150,"13,750.00",-,-,-
SARASIND,EQ,27-05-1997,91.50,91.75,91.75,90.0,-,90.0,90.27,650,"58,675.00",-,-,-
SARASIND,EQ,28-05-1997,90.00,89.5,90.0,89.5,-,90.0,89.76,700,"62,835.00",-,-,-
SARASIND,EQ,29-05-1997,90.00,88.1,88.45,88.1,-,88.1,88.18,450,"39,680.00",-,-,-
SARASIND,EQ,30-05-1997,88.10,85.0,85.25,85.0,-,85.25,85.12,"1,450","1,23,425.00",-,-,-
SARASIND,EQ,02-06-1997,85.25,81.25,81.25,80.5,-,80.5,81.08,"1,000","81,077.50",-,-,-
SARASIND,EQ,03-06-1997,80.50,80.25,81.0,76.25,-,81.0,78.15,"3,150","2,46,167.50",-,-,-
SARASIND,EQ,04-06-1997,81.00,81.1,81.5,80.5,-,80.5,81.05,400,"32,420.00",-,-,-
SARASIND,EQ,05-06-1997,80.50,78.2,80.0,78.2,-,80.0,79.64,500,"39,820.00",-,-,-
SARASIND,EQ,06-06-1997,80.00,79.5,80.0,78.75,-,80.0,79.73,"1,800","1,43,512.50",-,-,-
SARASIND,EQ,09-06-1997,80.00,78.0,81.0,78.0,-,81.0,79.06,"1,550","1,22,550.00",-,-,-
SARASIND,EQ,10-06-1997,81.00,81.5,81.5,74.5,-,74.5,79.5,350,"27,825.00",-,-,-
SARASIND,EQ,11-06-1997,74.50,80.0,80.7,80.0,-,80.1,80.27,600,"48,160.00",-,-,-
SARASIND,EQ,12-06-1997,80.10,80.0,81.0,79.05,-,79.95,79.83,300,"23,950.00",-,-,-
SARASIND,EQ,13-06-1997,79.95,79.55,79.55,79.55,-,79.55,79.55,50,"3,977.50",-,-,-
