SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
SARVES-RE,BE,2025-09-02,1.76,1.05,1.05,1.05,1.05,1.05,1.05,"15,13,180","15,88,839.00","3,550",-,-
SARVES-RE,BE,2025-09-03,1.05,0.65,1.0,0.63,0.63,0.63,0.66,11288017,74.37,9785, -, -
SARVES-RE,BE,2025-09-04,0.63,0.63,0.69,0.37,0.37,0.38,0.45,18614977,84.65,6213, -, -
SARVES-RE,BE,2025-09-05,0.38,0.38,0.45,0.38,0.4,0.41,0.43,8538699,37.08,4217, -, -
SARVES-RE,BE,2025-09-08,0.41,0.42,0.49,0.38,0.38,0.39,0.44,11246677,49.35,4219, -, -
SARVES-RE,BE,2025-09-09,0.39,0.39,0.43,0.31,0.31,0.32,0.35,14726502,51.0,3466, -, -
SARVES-RE,BE,2025-09-10,0.32,0.3,0.3,0.25,0.25,0.25,0.26,16023216,41.59,4224, -, -
SARVES-RE,BE,2025-09-11,0.25,0.25,0.26,0.22,0.22,0.22,0.23,14848606,34.69,3914, -, -
SARVES-RE,BE,08-09-2025,0.41,0.42,0.49,0.38,0.38,0.39,0.44,11246677,49.35,4219, -, -
SARVES-RE,BE,10-09-2025,0.32,0.3,0.3,0.25,0.25,0.25,0.26,16023216,41.59,4224, -, -
SARVES-RE,BE,09-09-2025,0.39,0.39,0.43,0.31,0.31,0.32,0.35,14726502,51.0,3466, -, -
SARVES-RE,BE,05-09-2025,0.38,0.38,0.45,0.38,0.4,0.41,0.43,8538699,37.08,4217, -, -
SARVES-RE,BE,11-09-2025,0.25,0.25,0.26,0.22,0.22,0.22,0.23,14848606,34.69,3914, -, -
