SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
SATTVAENGG,ST,03-09-2025,75.0,95.1,99.85,95.1,99.85,99.85,96.53,"20,41,600","19,70,70,160.00",697,"20,41,600",100.0
SATTVAENGG,ST,04-09-2025,99.85,104.0,104.0,98.1,100.3,100.6,102.04,966400,986.07,432, 897600,92.88
SATTVAENGG,ST,05-09-2025,100.6,100.3,102.0,95.6,95.6,96.8,96.87,292800,283.63,110, 288000,98.36
SATTVAENGG,ST,08-09-2025,96.8,95.7,99.95,94.0,99.95,99.9,96.99,150400,145.88,79, 137600,91.49
SATTVAENGG,ST,09-09-2025,99.9,97.5,103.8,97.5,103.75,103.45,101.54,92800,94.22,54, 88000,94.83
SATTVAENGG,ST,10-09-2025,103.45,100.0,100.75,98.3,98.3,99.15,98.93,177600,175.7,87, 168000,94.59
SATTVAENGG,ST,11-09-2025,99.15,98.0,102.0,96.0,101.75,100.6,99.18,56000,55.54,35, 52800,94.29
SATTVAENGG,ST,12-09-2025,100.6,105.6,105.6,102.55,105.5,105.55,105.06,284800,299.21,148, 272000,95.51
SATTVAENGG,ST,15-09-2025,105.55,107.8,107.8,102.0,105.0,105.75,105.2,72000,75.74,45, 64000,88.89
SATTVAENGG,ST,16-09-2025,105.75,105.0,111.0,103.0,111.0,111.0,109.19,153600,167.71,77, 152000,98.96
SATTVAENGG,SM,17-09-2025,111.0,115.0,118.9,107.15,108.0,108.1,112.92,366400,413.75,204, 222400,60.7
SATTVAENGG,SM,18-09-2025,108.1,110.7,118.7,108.0,116.0,114.65,114.34,196800,225.02,113, 126400,64.23
SATTVAENGG,SM,19-09-2025,114.65,116.0,118.0,112.0,112.5,112.9,115.35,67200,77.51,42, 48000,71.43
SATTVAENGG,SM,22-09-2025,112.9,115.0,117.0,103.0,105.9,104.85,108.29,184000,199.25,106, 140800,76.52
SATTVAENGG,SM,23-09-2025,104.85,108.9,108.9,105.0,107.0,106.8,107.54,54400,58.5,33, 40000,73.53
SATTVAENGG,SM,24-09-2025,106.8,107.0,108.9,105.75,105.75,105.75,107.45,35200,37.82,22, 27200,77.27
SATTVAENGG,SM,25-09-2025,105.75,105.2,106.7,102.15,103.95,103.65,104.23,64000,66.7,36, 40000,62.5
SATTVAENGG,SM,26-09-2025,103.65,105.9,105.9,102.25,103.0,102.6,103.12,16000,16.5,10, 14400,90.0
SATTVAENGG,SM,29-09-2025,102.6,103.85,103.85,102.1,102.1,102.1,102.76,25600,26.31,12, 22400,87.5
SATTVAENGG,SM,30-09-2025,102.1,102.95,102.95,99.9,100.5,100.05,100.66,40000,40.26,22, 40000,100.0
SATTVAENGG,SM,01-10-2025,100.05,100.05,100.4,97.5,98.55,98.55,99.38,52800,52.47,30, 43200,81.82
SATTVAENGG,SM,03-10-2025,98.55,99.0,100.5,97.15,98.0,98.25,98.43,187200,184.27,83, 164800,88.03
SATTVAENGG,SM,06-10-2025,98.25,99.8,99.85,92.0,92.0,93.2,96.49,80000,77.19,34, 70400,88.0
SATTVAENGG,SM,07-10-2025,93.2,95.0,96.65,90.2,92.1,92.1,93.32,54400,50.77,32, 41600,76.47
SATTVAENGG,SM,08-10-2025,92.1,92.1,95.0,90.0,90.25,90.6,90.93,270400,245.88,92, 97600, 36.09
