SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
SEL,ST,2023-08-31,83.0,250.0,262.5,237.5,262.0,262.35,248.56,"5,02,400","12,48,76,400.00",284,"5,00,800",99.68
SEL,ST,2023-09-01,262.35,269.0,275.45,250.25,275.45,275.45,266.98,"1,28,000","3,41,73,520.00",68,"1,18,400",92.5
SEL,ST,2023-09-04,275.45,270.0,271.0,261.7,261.7,261.7,264.39,"64,000","1,69,20,800.00",38,"64,000",100.0
SEL,ST,2023-09-05,261.7,249.3,255.0,248.65,248.65,248.95,251.37,"35,200","88,48,160.00",22,"33,600",95.45
SEL,ST,2023-09-06,248.95,257.2,259.95,244.1,255.1,257.5,253.76,"17,600","44,66,160.00",11,"17,600",100.0
SEL,ST,2023-09-07,257.5,257.0,258.95,244.65,244.65,244.65,249.53,"33,600","83,84,160.00",20,"33,600",100.0
SEL,ST,2023-09-08,244.65,244.0,256.85,240.0,252.0,252.0,252.08,"44,800","1,12,93,200.00",26,"44,800",100.0
SEL,ST,2023-09-11,252.0,255.0,255.0,247.0,247.0,247.0,251.06,"17,600","44,18,720.00",10,"17,600",100.0
SEL,ST,2023-09-12,247.0,247.5,247.5,234.65,234.65,234.65,236.53,"24,000","56,76,800.00",15,"24,000",100.0
SEL,ST,2023-09-13,234.65,222.95,222.95,222.95,222.95,222.95,222.95,"1,600","3,56,720.00",1,"1,600",100.0
SEL,SM,2023-09-14,222.95,223.05,247.0,204.0,246.0,246.0,230.91,"40,000","92,36,400.00",24,"30,400",76.0
SEL,SM,2023-09-15,246.0,246.0,260.0,236.9,236.9,236.95,250.84,"22,400","56,18,880.00",14,"16,000",71.43
SEL,SM,2023-09-18,236.95,236.95,236.95,230.1,233.0,233.0,233.35,"4,800","11,20,080.00",3,"4,800",100.0
SEL,SM,2023-09-20,233.0,231.1,231.1,218.0,224.0,224.0,225.42,"17,600","39,67,360.00",11,"14,400",81.82
SEL,SM,2023-09-21,224.0,218.0,218.0,206.0,206.0,206.0,211.88,"12,800","27,12,000.00",8,"12,800",100.0
SEL,SM,2023-09-22,206.0,208.0,218.95,208.0,218.7,218.7,212.69,"11,200","23,82,160.00",7,"9,600",85.71
SEL,SM,2023-09-25,218.7,222.0,222.0,222.0,222.0,222.0,222.0,"1,600","3,55,200.00",1,"1,600",100.0
SEL,SM,2023-09-26,222.0,201.0,215.0,195.0,215.0,215.0,205.51,"16,000","32,88,080.00",10,"11,200",70.0
SEL,SM,2023-09-27,215.0,210.0,210.0,210.0,210.0,210.0,210.0,"1,600","3,36,000.00",1,"1,600",100.0
SEL,SM,2023-09-28,210.0,212.5,218.4,212.5,218.4,217.9,216.05,"14,400","31,11,120.00",9,"12,800",88.89
SEL,SM,2023-09-29,217.9,200.5,239.0,200.5,223.0,223.45,219.41,"11,200","24,57,360.00",6,"8,000",71.43
SEL,SM,2023-10-04,223.45,224.3,224.3,216.0,216.0,216.0,219.77,"4,800","10,54,880.00",3,"4,800",100.0
SEL,SM,2023-10-09,216.0,201.5,204.8,180.0,188.0,191.75,191.94,"51,200","98,27,360.00",32,"40,000",78.13
SEL,SM,2023-10-10,191.75,190.0,190.0,180.5,186.25,186.25,185.43,"32,000","59,33,600.00",20,"25,600",80.0
SEL,SM,2023-10-11,186.25,190.0,210.0,190.0,209.0,209.0,202.69,"20,800","42,15,920.00",13,"17,600",84.62
SEL,SM,2023-10-12,209.0,201.05,208.0,193.5,199.35,199.35,198.37,"30,400","60,30,480.00",19,"20,800",68.42
SEL,SM,2023-10-13,199.35,199.0,199.0,190.05,197.15,196.0,194.72,"11,200","21,80,880.00",7,"8,000",71.43
SEL,SM,2023-10-16,196.0,198.15,198.15,192.05,197.95,197.95,196.54,"6,400","12,57,840.00",4,"6,400",100.0
SEL,SM,2023-10-17,197.95,197.95,207.0,197.95,203.0,203.0,203.57,"24,000","48,85,760.00",15,"24,000",100.0
SEL,SM,2023-10-18,203.0,215.0,215.0,200.0,200.0,200.0,205.0,"4,800","9,84,000.00",3,"4,800",100.0
SEL,SM,2023-10-19,200.0,196.8,196.8,194.0,195.0,195.0,195.63,"6,400","12,52,000.00",4,"6,400",100.0
SEL,SM,2023-10-20,195.0,203.5,203.5,203.5,203.5,203.5,203.5,"1,600","3,25,600.00",1,"1,600",100.0
SEL,SM,2023-10-23,203.5,210.0,210.0,190.15,198.0,198.0,196.16,"11,200","21,97,040.00",7,"9,600",85.71
SEL,SM,2023-10-25,198.0,196.0,196.0,196.0,196.0,196.0,196.0,"1,600","3,13,600.00",1,"1,600",100.0
SEL,SM,2023-10-26,196.0,199.0,199.0,198.0,198.0,198.0,198.5,"3,200","6,35,200.00",2,"3,200",100.0
SEL,SM,2023-10-30,198.0,195.0,204.5,195.0,204.0,204.0,200.06,"6,400","12,80,400.00",8,"5,600",87.5
SEL,SM,2023-10-31,204.0,203.5,203.5,196.0,199.0,199.0,199.5,"2,400","4,78,800.00",3,"2,400",100.0
SEL,SM,2023-11-01,199.0,199.0,199.0,199.0,199.0,199.0,199.0,800,"1,59,200.00",1,800,100.0
SEL,SM,2023-11-02,199.0,199.9,200.0,191.0,191.0,191.0,196.78,"4,000","7,87,120.00",5,"4,000",100.0
SEL,SM,2023-11-03,191.0,191.0,191.0,191.0,191.0,191.0,191.0,"1,600","3,05,600.00",2,"1,600",100.0
SEL,SM,2023-11-06,191.0,199.0,199.0,192.0,192.0,192.0,196.4,"4,000","7,85,600.00",4,"4,000",100.0
SEL,SM,2023-11-07,192.0,190.0,199.95,183.1,192.0,189.0,187.64,"17,600","33,02,480.00",22,"12,800",72.73
SEL,SM,2023-11-08,189.0,197.0,197.0,192.0,192.0,192.0,193.67,"2,400","4,64,800.00",3,"2,400",100.0
SEL,SM,2023-11-09,192.0,170.5,172.0,155.0,167.95,167.95,164.8,"53,600","88,33,440.00",66,"36,800",68.66
SEL,SM,2023-11-10,167.95,161.0,169.0,161.0,169.0,169.0,165.6,"4,000","6,62,400.00",5,"4,000",100.0
SEL,SM,2023-11-12,169.0,173.0,173.0,173.0,173.0,173.0,173.0,800,"1,38,400.00",1,800,100.0
SEL,SM,2023-11-13,173.0,173.0,173.0,172.0,172.0,172.0,172.5,"1,600","2,76,000.00",2,"1,600",100.0
SEL,SM,2023-11-15,172.0,174.0,174.0,172.0,172.0,172.0,173.0,"1,600","2,76,800.00",2,"1,600",100.0
SEL,SM,2023-11-16,172.0,172.0,172.0,169.0,169.0,169.5,170.0,"3,200","5,44,000.00",4,"3,200",100.0
SEL,SM,2023-11-17,169.5,164.5,203.4,150.0,203.4,203.4,188.21,"60,800","1,14,43,320.00",70,"49,600",81.58
SEL,SM,2023-11-20,203.4,218.0,225.8,206.0,206.0,210.25,215.88,"44,000","94,98,680.00",49,"25,600",58.18
SEL,SM,2023-11-21,210.25,224.95,224.95,216.0,216.0,216.0,220.05,"17,600","38,72,880.00",20,"10,400",59.09
SEL,SM,2023-11-22,216.0,220.35,228.5,215.0,215.0,216.15,220.85,"8,800","19,43,520.00",11,"6,400",72.73
SEL,SM,2023-11-23,216.15,216.15,216.15,216.15,216.15,216.15,216.15,800,"1,72,920.00",1,800,100.0
SEL,SM,2023-11-24,216.15,213.5,213.5,213.35,213.35,213.35,213.42,"2,400","5,12,200.00",3,"2,400",100.0
SEL,SM,2023-11-28,213.35,205.0,205.0,180.5,186.0,182.35,188.03,"3,200","6,01,680.00",4,"2,400",75.0
SEL,SM,2023-11-29,182.35,190.0,190.0,190.0,190.0,190.0,190.0,800,"1,52,000.00",1,800,100.0
SEL,SM,2023-11-30,190.0,191.5,198.0,191.5,198.0,198.0,196.1,"4,000","7,84,400.00",5,"3,200",80.0
SEL,SM,2023-12-01,198.0,210.0,225.0,210.0,213.0,215.0,217.19,"28,000","60,81,200.00",33,"22,400",80.0
SEL,SM,2023-12-04,215.0,215.0,218.95,210.0,210.0,210.0,215.6,"10,400","22,42,200.00",13,"9,600",92.31
SEL,SM,2023-12-05,210.0,210.0,214.25,203.5,214.0,211.35,210.13,"10,400","21,85,400.00",13,"10,400",100.0
SEL,SM,2023-12-06,211.35,211.35,211.35,211.35,211.35,211.35,211.35,800,"1,69,080.00",1,800,100.0
SEL,SM,2023-12-07,211.35,211.0,211.0,201.0,201.0,201.0,206.0,"1,600","3,29,600.00",2,"1,600",100.0
SEL,SM,2023-12-08,201.0,201.0,201.0,201.0,201.0,201.0,201.0,800,"1,60,800.00",1,800,100.0
SEL,SM,2023-12-11,201.0,210.0,215.0,210.0,214.75,214.75,212.79,"5,600","11,91,640.00",7,"4,800",85.71
SEL,SM,2023-12-12,214.75,201.0,201.0,199.0,199.0,199.45,199.76,"6,400","12,78,480.00",8,"6,400",100.0
SEL,SM,2023-12-13,199.45,199.45,199.45,190.05,194.2,194.2,194.43,"3,200","6,22,160.00",4,"2,400",75.0
SEL,SM,2023-12-14,194.2,194.2,194.2,194.2,194.2,194.2,194.2,800,"1,55,360.00",1,800,100.0
SEL,SM,2023-12-15,194.2,209.0,210.0,208.95,208.95,208.95,209.52,"4,800","10,05,680.00",6,"4,800",100.0
SEL,SM,2023-12-18,208.95,217.0,217.0,206.5,210.55,212.9,212.32,"6,400","13,58,840.00",8,"4,800",75.0
SEL,SM,2023-12-19,212.9,208.0,215.0,208.0,212.0,210.5,211.51,"10,400","21,99,720.00",13,"10,400",100.0
SEL,SM,2023-12-20,210.5,212.75,212.75,198.0,200.0,200.0,202.54,"4,000","8,10,160.00",5,"4,000",100.0
SEL,SM,2023-12-22,200.0,200.0,203.0,200.0,201.0,201.0,200.8,"6,400","12,85,120.00",8,"6,400",100.0
SEL,SM,2023-12-26,201.0,198.0,201.0,195.0,195.0,195.0,197.57,"5,600","11,06,400.00",7,"4,800",85.71
SEL,SM,2023-12-28,195.0,197.0,197.0,197.0,197.0,197.0,197.0,800,"1,57,600.00",1,800,100.0
SEL,SM,2023-12-29,197.0,201.0,203.0,200.0,203.0,203.0,201.75,"3,200","6,45,600.00",4,"3,200",100.0
SEL,SM,2024-01-01,203.0,200.0,207.0,200.0,202.0,204.0,204.29,"5,600","11,44,000.00",7,"5,600",100.0
SEL,SM,2024-01-02,204.0,196.5,214.0,196.5,214.0,207.3,206.31,"8,800","18,15,560.00",6,"8,800",100.0
SEL,SM,2024-01-03,207.3,207.4,220.0,207.4,213.0,213.0,213.37,"9,600","20,48,320.00",11,"8,800",91.67
SEL,SM,2024-01-04,213.0,220.0,254.75,220.0,243.0,241.45,242.47,"44,800","1,08,62,720.00",55,"32,800",73.21
SEL,SM,2024-01-05,241.45,246.0,270.0,246.0,268.5,267.9,262.77,"43,200","1,13,51,520.00",54,"32,800",75.93
SEL,SM,2024-01-08,267.9,267.9,271.0,267.9,269.5,269.5,269.04,"11,200","30,13,280.00",14,"9,600",85.71
SEL,SM,2024-01-09,269.5,275.0,275.0,255.0,255.0,255.0,262.61,"6,400","16,80,680.00",8,"5,600",87.5
SEL,SM,2024-01-10,255.0,255.0,255.0,255.0,255.0,255.0,255.0,800,"2,04,000.00",1,800,100.0
SEL,ST,2024-01-11,255.0,250.0,255.0,242.25,242.25,242.25,248.36,"5,600","13,90,800.00",7,"5,600",100.0
SEL,ST,2024-01-12,242.25,235.5,235.5,230.15,230.15,230.15,231.07,"9,600","22,18,280.00",12,"9,600",100.0
SEL,ST,2024-01-15,230.15,218.65,225.0,218.65,225.0,225.0,219.51,"6,400","14,04,840.00",8,"5,600",87.5
SEL,ST,2024-01-16,225.0,235.15,236.25,234.0,236.25,236.25,235.85,"7,200","16,98,120.00",9,"7,200",100.0
SEL,ST,2024-01-17,236.25,225.0,248.05,225.0,248.05,248.05,245.92,"8,800","21,64,120.00",10,"8,000",90.91
SEL,ST,2024-01-18,248.05,248.05,250.0,236.0,236.0,236.0,244.18,"4,800","11,72,040.00",6,"4,800",100.0
SEL,ST,2024-01-19,236.0,247.8,247.8,231.0,231.0,231.0,239.4,"1,600","3,83,040.00",2,"1,600",100.0
SEL,ST,2024-01-20,231.0,235.0,242.55,235.0,242.55,242.55,239.78,"3,200","7,67,280.00",4,"3,200",100.0
