SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
SGFIN,EQ,2025-08-05,403.55,407.5,412.0,395.0,397.45,398.15,403.7,"59,292","2,39,36,371.85","1,981","35,026",59.07
SGFIN,EQ,2025-08-06,398.15,404.0,404.0,391.0,394.55,394.85,395.39,40003,158.17,2315, 23169,57.92
SGFIN,EQ,2025-08-07,394.85,390.6,398.95,387.6,391.0,391.55,391.14,89694,350.83,4829, 56899,63.44
SGFIN,EQ,2025-08-08,391.55,390.05,396.8,389.15,390.0,391.7,392.67,39769,156.16,2677, 22523,56.63
SGFIN,EQ,2025-08-11,391.7,395.6,395.6,386.15,386.6,387.15,389.55,36278,141.32,2839, 22604,62.31
SGFIN,EQ,2025-08-12,387.15,387.95,393.35,380.1,380.1,383.3,385.71,69432,267.8,3846, 41604,59.92
SGFIN,EQ,2025-08-13,383.3,380.5,390.65,380.5,388.0,388.15,386.25,46737,180.52,3068, 28702,61.41
SGFIN,EQ,2025-08-14,388.15,388.2,391.95,385.0,385.9,386.45,387.76,28696,111.27,1799, 19770,68.89
SGFIN,EQ,2025-08-18,386.45,390.5,394.8,385.0,386.0,385.8,388.58,74383,289.04,3960, 40465,54.4
SGFIN,EQ,2025-08-19,385.8,390.8,390.8,384.9,387.7,386.8,386.6,40286,155.75,2231, 23601,58.58
SGFIN,EQ,2025-08-20,386.8,385.05,395.0,385.05,394.0,392.75,391.71,86375,338.34,4327, 63291,73.27
SGFIN,EQ,2025-08-21,392.75,394.0,394.0,387.4,390.75,390.15,391.11,78499,307.02,2373, 54006,68.8
SGFIN,EQ,2025-08-22,390.15,390.15,390.4,375.6,382.9,382.15,383.47,87605,335.94,4487, 49615,56.63
SGFIN,EQ,2025-08-25,382.15,385.95,385.95,380.1,380.6,382.25,382.85,47627,182.34,2861, 31040,65.17
SGFIN,EQ,2025-08-26,382.25,380.15,383.0,377.05,378.25,379.4,379.58,47679,180.98,3055, 32565,68.3
SGFIN,EQ,2025-08-28,379.4,373.7,392.0,370.7,382.95,378.85,381.11,87430,333.21,5614, 46276,52.93
SGFIN,EQ,2025-08-29,378.85,380.7,382.85,372.2,379.0,378.4,376.99,42530,160.34,3150, 26871,63.18
SGFIN,EQ,2025-09-01,378.4,378.95,385.7,376.3,379.3,380.3,379.42,28483,108.07,2841, 16571,58.18
SGFIN,EQ,2025-09-02,380.3,384.55,384.8,378.75,380.0,379.95,381.09,39335,149.9,2167, 23672,60.18
SGFIN,EQ,2025-09-03,379.95,380.55,384.95,375.25,375.25,379.65,380.53,43381,165.08,2753, 25564,58.93
SGFIN,EQ,2025-09-04,379.65,380.15,387.25,376.25,376.5,377.8,379.27,77571,294.2,3476, 51049,65.81
SGFIN,EQ,2025-09-05,377.8,377.15,380.9,374.0,377.9,375.9,376.9,42473,160.08,2349, 18894,44.48
SGFIN,EQ,2025-09-08,375.9,384.0,384.0,374.5,376.0,375.6,376.72,63833,240.47,2100, 49377,77.35
SGFIN,EQ,2025-09-09,375.6,377.4,379.3,373.65,374.0,374.5,375.44,49643,186.38,2860, 34969,70.44
SGFIN,EQ,2025-09-10,374.5,375.0,377.85,370.95,374.5,374.3,374.2,62695,234.6,3104, 38049,60.69
SGFIN,EQ,2025-09-11,374.3,372.5,393.1,372.5,387.5,387.45,385.19,93544,360.32,4014, 51753,55.32
SGFIN,EQ,2025-09-12,387.45,390.25,394.1,375.0,376.4,375.95,378.92,169190,641.1,5334, 119441,70.6
SGFIN,EQ,2025-09-15,375.95,379.9,379.9,372.8,374.5,374.2,375.63,109763,412.31,4734, 84410,76.9
SGFIN,EQ,2025-09-16,374.2,377.0,377.0,373.15,374.55,374.3,374.37,111579,417.72,7033, 86644,77.65
SGFIN,EQ,2025-09-17,374.3,374.5,382.85,374.5,376.6,376.15,376.7,134138,505.29,3909, 105638,78.75
SGFIN,EQ,2025-09-18,376.15,379.0,387.9,374.55,385.9,384.75,382.07,143091,546.71,6537, 97796,68.35
SGFIN,EQ,2025-09-19,384.75,383.0,391.0,379.2,384.95,382.65,384.31,176461,678.16,5897, 116086,65.79
SGFIN,EQ,2025-09-22,382.65,381.0,386.0,375.6,379.0,378.35,377.98,64968,245.56,4320, 36794,56.63
SGFIN,EQ,2025-09-23,378.35,375.3,378.15,371.45,373.0,373.3,374.54,84465,316.36,5025, 53797,63.69
SGFIN,EQ,2025-09-24,373.3,374.95,378.35,370.3,372.0,371.85,373.06,68541,255.7,2291, 44162,64.43
SGFIN,EQ,2025-09-25,371.85,371.85,373.7,358.4,361.65,360.5,365.27,103549,378.23,5793, 63053,60.89
SGFIN,EQ,2025-09-26,360.5,360.25,366.6,347.2,350.0,349.55,351.94,161487,568.33,7978, 93380,57.83
