SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
SGMART,EQ,12-09-2025,361.55,365.0,369.0,350.5,356.1,358.1,359.19,"1,06,559","3,82,75,114.00","2,735","64,254",60.3
SGMART,EQ,12-09-2025,361.55,365.0,369.0,350.5,356.1,358.1,359.19,106559,382.75,2735, 64254,60.3
SGMART,EQ,15-09-2025,358.1,356.0,366.1,352.8,364.0,364.45,359.16,"2,48,540","8,92,66,308.10","3,942","1,66,066",66.82
SGMART,EQ,15-09-2025,358.1,356.0,366.1,352.8,364.0,364.45,359.16,248540,892.66,3942, 166066,66.82
SGMART,EQ,16-09-2025,364.45,364.1,378.75,361.8,367.1,369.35,371.46,"1,43,126","5,31,65,964.05","5,241","98,072",68.52
SGMART,EQ,16-09-2025,364.45,364.1,378.75,361.8,367.1,369.35,371.46,143126,531.66,5241, 98072,68.52
SGMART,EQ,17-09-2025,369.35,370.35,382.0,365.35,375.0,376.55,376.76,"1,77,667","6,69,37,338.45","19,111","73,364",41.29
SGMART,EQ,17-09-2025,369.35,370.35,382.0,365.35,375.0,376.55,376.76,177667,669.37,19111, 73364,41.29
SGMART,EQ,18-09-2025,376.55,375.5,388.85,375.2,383.0,383.85,383.7,154852,594.17,13168, 93540,60.41
SGMART,EQ,19-09-2025,383.85,385.0,389.55,379.85,382.0,384.1,384.53,139440,536.18,7978, 90846,65.15
SGMART,EQ,22-09-2025,384.1,384.0,384.9,374.8,376.45,376.9,379.19,144010,546.06,6704, 93207,64.72
SGMART,EQ,23-09-2025,376.9,376.45,382.9,374.0,379.45,379.55,378.49,53619,202.94,3645, 26607,49.62
SGMART,EQ,24-09-2025,379.55,379.55,381.55,372.35,377.25,378.7,377.74,49941,188.65,2979, 29217,58.5
SGMART,EQ,25-09-2025,378.7,382.5,382.5,372.4,376.4,375.8,376.47,56981,214.52,3185, 34353,60.29
SGMART,EQ,26-09-2025,375.8,376.35,376.9,362.0,362.65,362.95,368.23,33110,121.92,2998, 18460,55.75
SGMART,EQ,29-09-2025,362.95,362.65,369.4,360.6,361.9,364.7,364.29,62940,229.28,2018, 45035,71.55
SGMART,EQ,30-09-2025,364.7,364.7,370.0,358.05,359.3,360.5,365.01,72441,264.42,4990, 51041,70.46
SGMART,EQ,01-10-2025,360.5,358.5,372.45,358.5,362.4,363.1,365.04,54661,199.53,2517, 31833,58.24
SGMART,EQ,03-10-2025,363.1,360.0,367.5,360.0,366.5,365.0,364.15,46312,168.65,1825, 31818,68.7
SGMART,EQ,06-10-2025,365.0,367.4,378.0,359.35,370.8,372.2,370.77,240020,889.93,5740, 177658,74.02
SGMART,EQ,07-10-2025,372.2,374.95,374.95,362.0,363.45,366.0,367.76,69643,256.12,3077, 48573,69.75
SGMART,EQ,08-10-2025,366.0,366.0,366.0,351.65,353.1,353.1,356.69,77392,276.05,2661, 56671,73.23
SGMART,EQ,09-10-2025,353.1,351.6,361.0,338.45,341.5,341.8,347.78,196523,683.48,6498, 123861,63.03
SGMART,EQ,10-10-2025,341.8,343.5,353.0,341.05,347.5,345.7,346.5,93169,322.83,3778, 52023,55.84
SGMART,EQ,13-10-2025,345.7,343.0,348.3,338.65,342.15,343.5,343.48,55748,191.49,2999, 31260,56.07
SGMART,EQ,14-10-2025,343.5,341.25,362.7,336.75,339.0,339.15,345.6,206602,714.02,7683, 110471, 53.47
