SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
SHAMKNSPIN,EQ,1996-01-01,8.50,8.2,8.5,8.2,-,8.25,8.43,"6,300","53,135.00",-,-,-
SHAMKNSPIN,EQ,1996-01-02,8.25,8.4,8.4,8.3,-,8.35,8.39,"5,600","46,990.00",-,-,-
SHAMKNSPIN,EQ,1996-01-03,8.35,7.8,8.2,7.8,-,7.85,7.96,"3,300","26,265.00",-,-,-
SHAMKNSPIN,EQ,1996-01-04,7.85,7.9,7.9,7.9,-,7.9,7.9,"7,600","60,040.00",-,-,-
SHAMKNSPIN,EQ,1996-01-05,7.90,7.9,8.25,7.9,-,8.25,8.07,"6,900","55,705.00",-,-,-
SHAMKNSPIN,EQ,1996-01-08,8.25,8.0,8.1,8.0,-,8.1,8.04,"1,300","10,450.00",-,-,-
SHAMKNSPIN,EQ,1996-01-09,8.10,8.0,8.0,7.85,-,8.0,7.97,"3,100","24,715.00",-,-,-
SHAMKNSPIN,EQ,1996-01-10,8.00,8.0,8.05,7.9,-,8.05,7.97,"2,800","22,325.00",-,-,-
SHAMKNSPIN,EQ,1996-01-11,8.05,8.0,8.1,8.0,-,8.1,8.05,"1,700","13,690.00",-,-,-
SHAMKNSPIN,EQ,1996-01-12,8.10,8.1,8.0,8.0,-,8.0,8.0,"1,700","13,600.00",-,-,-
SHAMKNSPIN,EQ,1996-01-15,8.00,8.0,8.0,8.0,-,8.0,8.0,100,800.00,-,-,-
SHAMKNSPIN,EQ,1996-01-16,8.00,8.25,8.25,8.0,-,8.0,8.11,"2,300","18,650.00",-,-,-
SHAMKNSPIN,EQ,1996-01-17,8.00,8.0,8.0,8.0,-,8.0,8.0,800,"6,400.00",-,-,-
SHAMKNSPIN,EQ,1996-01-18,8.00,7.5,7.5,7.5,-,7.5,7.5,100,750.00,-,-,-
SHAMKNSPIN,EQ,1996-01-19,7.50,7.55,7.6,7.55,-,7.6,7.58,200,"1,515.00",-,-,-
SHAMKNSPIN,EQ,1996-01-22,7.60,7.65,7.65,7.6,-,7.6,7.63,500,"3,815.00",-,-,-
SHAMKNSPIN,EQ,1996-01-23,7.60,7.6,7.5,7.3,-,7.5,7.43,"1,800","13,380.00",-,-,-
SHAMKNSPIN,EQ,1996-01-24,7.50,7.5,7.35,7.0,-,7.35,7.23,300,"2,170.00",-,-,-
SHAMKNSPIN,EQ,1996-01-25,7.35,7.35,7.0,7.0,-,7.0,7.0,"2,500","17,500.00",-,-,-
SHAMKNSPIN,EQ,1996-01-29,7.00,6.8,6.8,6.8,-,6.8,6.8,100,680.00,-,-,-
SHAMKNSPIN,EQ,1996-01-30,6.80,6.8,6.8,6.5,-,6.8,6.68,500,"3,340.00",-,-,-
SHAMKNSPIN,EQ,1996-01-31,6.80,6.6,6.6,6.5,-,6.5,6.56,500,"3,280.00",-,-,-
SHAMKNSPIN,EQ,1996-02-01,6.50,6.7,6.75,6.7,-,6.75,6.72,300,"2,015.00",-,-,-
SHAMKNSPIN,EQ,1996-02-02,6.75,6.9,7.0,6.25,-,7.0,6.75,800,"5,400.00",-,-,-
SHAMKNSPIN,EQ,1996-02-05,7.00,7.0,7.5,7.0,-,7.5,7.2,700,"5,040.00",-,-,-
SHAMKNSPIN,EQ,1996-02-07,7.50,7.0,7.0,7.0,-,7.0,7.0,200,"1,400.00",-,-,-
SHAMKNSPIN,EQ,1996-02-08,7.00,7.0,7.0,7.0,-,7.0,7.0,100,700.00,-,-,-
SHAMKNSPIN,EQ,1996-02-13,7.00,6.9,6.95,6.9,-,6.95,6.95,"1,100","7,640.00",-,-,-
SHAMKNSPIN,EQ,1996-02-14,6.95,6.9,7.0,6.9,-,7.0,6.92,900,"6,230.00",-,-,-
SHAMKNSPIN,EQ,1996-02-15,7.00,6.9,7.0,6.9,-,7.0,6.95,"2,400","16,680.00",-,-,-
SHAMKNSPIN,EQ,1996-02-16,7.00,7.0,7.0,6.3,-,6.8,6.71,"2,400","16,105.00",-,-,-
SHAMKNSPIN,EQ,1996-02-19,6.80,6.5,6.75,6.5,-,6.5,6.55,"1,000","6,550.00",-,-,-
SHAMKNSPIN,EQ,1996-02-20,6.50,6.0,6.0,6.0,-,6.0,6.0,"1,200","7,200.00",-,-,-
SHAMKNSPIN,EQ,1996-02-22,6.00,6.5,6.5,6.0,-,6.25,6.3,"3,000","18,900.00",-,-,-
SHAMKNSPIN,EQ,1996-02-23,6.25,6.25,6.25,6.25,-,6.25,6.25,100,625.00,-,-,-
SHAMKNSPIN,EQ,1996-02-26,6.25,6.0,6.5,6.0,-,6.5,6.15,"2,300","14,150.00",-,-,-
SHAMKNSPIN,EQ,1996-02-27,6.50,6.15,6.9,6.15,-,6.5,6.61,"1,900","12,550.00",-,-,-
SHAMKNSPIN,EQ,1996-02-28,6.50,6.25,6.95,6.25,-,6.8,6.66,"4,500","29,970.00",-,-,-
SHAMKNSPIN,EQ,1996-02-29,6.80,6.5,6.55,6.5,-,6.5,6.51,"2,000","13,025.00",-,-,-
SHAMKNSPIN,EQ,1996-03-01,6.50,6.25,6.9,6.25,-,6.5,6.63,"1,300","8,625.00",-,-,-
SHAMKNSPIN,EQ,1996-03-04,6.50,6.5,7.0,6.5,-,7.0,6.83,"2,100","14,340.00",-,-,-
SHAMKNSPIN,EQ,1996-03-06,7.00,6.9,7.0,6.9,-,7.0,6.97,800,"5,575.00",-,-,-
SHAMKNSPIN,EQ,1996-03-07,7.00,7.0,7.0,6.75,-,6.75,6.89,"1,800","12,400.00",-,-,-
