SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
SHASUNCHEM,EQ,01-01-1996,76.65,76.65,79.9,77.05,-,77.05,78.42,"3,600","2,82,295.00",-,-,-
SHASUNCHEM,EQ,02-01-1996,77.05,77.05,79.0,74.0,-,77.1,76.78,"10,700","8,21,545.00",-,-,-
SHASUNCHEM,EQ,03-01-1996,77.10,77.1,77.5,70.0,-,72.4,73.48,"8,300","6,09,860.00",-,-,-
SHASUNCHEM,EQ,04-01-1996,72.40,72.4,71.4,66.0,-,68.45,68.71,"5,500","3,77,920.00",-,-,-
SHASUNCHEM,EQ,05-01-1996,68.45,68.45,70.0,65.55,-,66.2,68.14,"6,600","4,49,710.00",-,-,-
SHASUNCHEM,EQ,08-01-1996,66.20,66.2,66.0,63.5,-,63.5,64.78,"4,900","3,17,405.00",-,-,-
SHASUNCHEM,EQ,09-01-1996,63.50,63.5,64.0,57.25,-,58.35,61.84,"5,700","3,52,500.00",-,-,-
SHASUNCHEM,EQ,10-01-1996,58.35,58.35,59.75,57.25,-,59.05,58.77,"1,500","88,155.00",-,-,-
SHASUNCHEM,EQ,11-01-1996,59.05,59.05,62.0,58.0,-,60.05,60.13,"2,800","1,68,360.00",-,-,-
SHASUNCHEM,EQ,12-01-1996,60.05,60.05,65.0,61.1,-,62.5,63.17,"6,400","4,04,260.00",-,-,-
SHASUNCHEM,EQ,15-01-1996,62.50,62.5,61.5,60.1,-,60.25,60.78,"3,800","2,30,965.00",-,-,-
SHASUNCHEM,EQ,16-01-1996,60.25,60.25,61.5,57.0,-,59.1,59.65,"2,900","1,72,985.00",-,-,-
SHASUNCHEM,EQ,17-01-1996,59.10,57.1,61.6,57.1,-,58.3,59.1,"4,100","2,42,320.00",-,-,-
SHASUNCHEM,EQ,18-01-1996,58.30,57.25,58.0,57.2,-,58.0,57.47,"2,900","1,66,670.00",-,-,-
SHASUNCHEM,EQ,19-01-1996,58.00,58.0,55.0,54.5,-,55.0,54.76,800,"43,805.00",-,-,-
SHASUNCHEM,EQ,22-01-1996,55.00,55.0,55.0,53.3,-,53.45,54.16,"2,500","1,35,410.00",-,-,-
SHASUNCHEM,EQ,23-01-1996,53.45,53.95,55.0,51.65,-,52.05,52.83,"5,200","2,74,705.00",-,-,-
SHASUNCHEM,EQ,24-01-1996,52.05,52.05,53.0,51.5,-,51.9,52.17,"1,300","67,825.00",-,-,-
SHASUNCHEM,EQ,25-01-1996,51.90,51.75,51.75,50.0,-,51.0,50.73,"2,500","1,26,820.00",-,-,-
SHASUNCHEM,EQ,29-01-1996,51.00,51.0,50.25,49.0,-,49.0,49.88,"1,200","59,855.00",-,-,-
SHASUNCHEM,EQ,30-01-1996,49.00,49.0,50.0,49.0,-,49.0,49.17,"2,000","98,330.00",-,-,-
SHASUNCHEM,EQ,31-01-1996,49.00,49.0,50.05,49.0,-,50.0,49.68,"1,900","94,395.00",-,-,-
SHASUNCHEM,EQ,01-02-1996,50.00,50.5,50.75,47.0,-,48.85,49.41,"5,100","2,52,015.00",-,-,-
SHASUNCHEM,EQ,02-02-1996,48.85,50.5,52.5,50.3,-,52.0,51.22,"2,400","1,22,925.00",-,-,-
SHASUNCHEM,EQ,05-02-1996,52.00,52.0,57.0,52.0,-,56.55,54.66,"5,300","2,89,695.00",-,-,-
SHASUNCHEM,EQ,06-02-1996,56.55,56.55,61.0,56.0,-,59.25,59.1,"6,800","4,01,890.00",-,-,-
SHASUNCHEM,EQ,07-02-1996,59.25,59.15,62.0,58.0,-,59.7,60.26,"11,100","6,68,900.00",-,-,-
SHASUNCHEM,EQ,08-02-1996,59.70,57.0,59.25,55.75,-,58.8,58.08,"3,000","1,74,235.00",-,-,-
SHASUNCHEM,EQ,09-02-1996,58.80,59.0,61.95,59.0,-,60.4,60.57,"4,500","2,72,545.00",-,-,-
SHASUNCHEM,EQ,12-02-1996,60.40,60.0,60.0,57.0,-,58.15,58.91,"3,500","2,06,195.00",-,-,-
SHASUNCHEM,EQ,13-02-1996,58.15,58.15,59.7,57.0,-,59.5,58.88,"4,500","2,64,970.00",-,-,-
SHASUNCHEM,EQ,14-02-1996,59.50,59.25,62.9,59.25,-,61.4,60.8,"2,700","1,64,155.00",-,-,-
SHASUNCHEM,EQ,15-02-1996,61.40,60.0,62.0,60.0,-,61.65,61.48,"1,900","1,16,820.00",-,-,-
SHASUNCHEM,EQ,16-02-1996,61.65,62.0,62.0,60.0,-,60.15,60.85,"6,500","3,95,525.00",-,-,-
SHASUNCHEM,EQ,19-02-1996,60.15,61.0,61.5,61.0,-,61.1,61.15,"1,800","1,10,075.00",-,-,-
SHASUNCHEM,EQ,20-02-1996,61.10,60.5,61.0,59.5,-,59.55,60.25,"2,800","1,68,690.00",-,-,-
SHASUNCHEM,EQ,22-02-1996,59.55,60.0,61.0,60.0,-,61.0,60.25,"1,700","1,02,425.00",-,-,-
SHASUNCHEM,EQ,23-02-1996,61.00,62.0,62.0,60.0,-,60.05,60.45,"1,100","66,500.00",-,-,-
SHASUNCHEM,EQ,26-02-1996,60.05,59.0,60.0,59.0,-,59.8,59.64,400,"23,855.00",-,-,-
SHASUNCHEM,EQ,27-02-1996,59.80,57.0,58.1,56.0,-,57.95,57.44,"1,200","68,930.00",-,-,-
SHASUNCHEM,EQ,28-02-1996,57.95,57.95,58.5,57.5,-,58.25,58.15,"1,000","58,150.00",-,-,-
SHASUNCHEM,EQ,29-02-1996,58.25,53.8,56.5,53.8,-,55.8,55.61,800,"44,490.00",-,-,-
SHASUNCHEM,EQ,01-03-1996,55.80,55.0,56.0,54.0,-,54.0,54.39,"1,200","65,270.00",-,-,-
SHASUNCHEM,EQ,04-03-1996,54.00,53.0,54.25,52.5,-,54.15,53.55,"1,100","58,900.00",-,-,-
SHASUNCHEM,EQ,06-03-1996,54.15,54.0,54.0,53.0,-,53.05,53.2,"1,100","58,520.00",-,-,-
SHASUNCHEM,EQ,07-03-1996,53.05,53.05,54.95,52.25,-,53.75,52.94,"1,700","90,005.00",-,-,-
SHASUNCHEM,EQ,08-03-1996,53.75,53.75,53.0,52.5,-,52.75,52.6,"1,200","63,125.00",-,-,-
SHASUNCHEM,EQ,11-03-1996,52.75,52.75,52.4,51.5,-,51.75,51.72,"1,700","87,925.00",-,-,-
SHASUNCHEM,EQ,12-03-1996,51.75,50.0,50.75,49.5,-,50.0,50.23,"4,300","2,16,010.00",-,-,-
SHASUNCHEM,EQ,13-03-1996,50.00,53.0,53.0,50.7,-,52.0,51.69,900,"46,525.00",-,-,-
SHASUNCHEM,EQ,14-03-1996,52.00,51.5,52.0,51.5,-,52.0,51.8,500,"25,900.00",-,-,-
SHASUNCHEM,EQ,15-03-1996,52.00,52.0,52.0,51.4,-,51.75,51.78,700,"36,245.00",-,-,-
SHASUNCHEM,EQ,18-03-1996,51.75,51.75,52.0,51.5,-,51.55,51.63,800,"41,305.00",-,-,-
SHASUNCHEM,EQ,19-03-1996,51.55,51.55,52.7,50.1,-,51.0,51.23,"4,700","2,40,765.00",-,-,-
SHASUNCHEM,EQ,21-03-1996,51.00,52.25,52.25,52.25,-,52.25,52.25,100,"5,225.00",-,-,-
SHASUNCHEM,EQ,25-03-1996,52.25,51.0,52.1,50.25,-,52.0,51.17,"3,500","1,79,085.00",-,-,-
SHASUNCHEM,EQ,26-03-1996,52.00,51.75,51.75,51.0,-,51.15,51.27,"1,300","66,645.00",-,-,-
