SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
SHREEJISPG,EQ,26-08-2025,252.0,270.0,275.0,252.2,254.4,255.1,262.26,"1,41,97,871","3,72,35,06,130.15","1,34,211","64,88,624",45.7
SHREEJISPG,EQ,28-08-2025,255.1,257.2,257.95,252.6,253.05,253.2,254.07,2428033,6169.0,26476, 786650,32.4
SHREEJISPG,EQ,29-08-2025,253.2,254.6,255.9,252.0,252.2,252.8,253.33,1878998,4760.05,18025, 730367,38.87
SHREEJISPG,EQ,01-09-2025,252.8,253.0,259.55,253.0,254.2,255.3,255.47,2047238,5230.04,21412, 476553,23.28
SHREEJISPG,EQ,02-09-2025,255.3,255.1,256.9,253.0,253.05,253.0,253.67,866076,2196.95,9925, 402401,46.46
SHREEJISPG,EQ,03-09-2025,253.0,253.25,255.05,253.0,253.0,253.05,253.29,731040,1851.63,5479, 390125,53.37
SHREEJISPG,EQ,04-09-2025,253.05,262.0,262.0,253.1,253.3,253.75,256.01,570627,1460.87,6729, 259721,45.52
SHREEJISPG,EQ,05-09-2025,253.75,253.8,254.8,253.0,253.2,253.35,253.18,587529,1487.52,11429, 351985,59.91
SHREEJISPG,EQ,08-09-2025,253.35,254.5,254.9,253.0,253.1,253.0,253.39,345055,874.34,12336, 188403,54.6
SHREEJISPG,EQ,09-09-2025,253.0,254.1,254.4,253.0,253.9,253.05,253.13,220177,557.34,6427, 153302,69.63
SHREEJISPG,EQ,10-09-2025,253.05,254.0,254.0,252.0,252.05,252.35,252.61,496320,1253.75,14482, 270964,54.59
SHREEJISPG,EQ,11-09-2025,252.35,252.05,252.95,252.0,252.2,252.3,252.18,353758,892.1,10710, 224014,63.32
SHREEJISPG,EQ,12-09-2025,252.3,252.9,262.5,252.1,255.0,255.35,255.98,2578200,6599.59,17813, 717611,27.83
SHREEJISPG,EQ,15-09-2025,255.35,258.5,263.0,253.25,254.95,255.35,258.66,3524833,9117.48,27126, 804030,22.81
SHREEJISPG,EQ,16-09-2025,255.35,256.9,262.25,254.0,254.05,255.3,257.6,1506302,3880.24,17228, 363714,24.15
SHREEJISPG,EQ,17-09-2025,255.3,255.9,256.55,253.0,253.2,253.05,253.4,567910,1439.08,5207, 354228,62.37
SHREEJISPG,EQ,12-09-2025,252.3,252.9,262.5,252.1,255.0,255.35,255.98,2578200,6599.59,17813, 717611,27.83
SHREEJISPG,EQ,18-09-2025,253.05,254.25,255.95,253.0,253.05,253.05,253.57,268211,680.11,3018, 142289,53.05
SHREEJISPG,EQ,17-09-2025,255.3,255.9,256.55,253.0,253.2,253.05,253.4,567910,1439.08,5207, 354228,62.37
SHREEJISPG,EQ,08-09-2025,253.35,254.5,254.9,253.0,253.1,253.0,253.39,345055,874.34,12336, 188403,54.6
SHREEJISPG,EQ,15-09-2025,255.35,258.5,263.0,253.25,254.95,255.35,258.66,3524833,9117.48,27126, 804030,22.81
SHREEJISPG,EQ,10-09-2025,253.05,254.0,254.0,252.0,252.05,252.35,252.61,496320,1253.75,14482, 270964,54.59
SHREEJISPG,EQ,09-09-2025,253.0,254.1,254.4,253.0,253.9,253.05,253.13,220177,557.34,6427, 153302,69.63
SHREEJISPG,EQ,16-09-2025,255.35,256.9,262.25,254.0,254.05,255.3,257.6,1506302,3880.24,17228, 363714,24.15
SHREEJISPG,EQ,05-09-2025,253.75,253.8,254.8,253.0,253.2,253.35,253.18,587529,1487.52,11429, 351985,59.91
SHREEJISPG,EQ,11-09-2025,252.35,252.05,252.95,252.0,252.2,252.3,252.18,353758,892.1,10710, 224014,63.32
SHREEJISPG,EQ,19-09-2025,253.05,253.0,259.0,252.0,253.3,255.3,253.35,634262,1606.9,5708, 363520,57.31
SHREEJISPG,EQ,22-09-2025,255.3,254.5,259.1,236.0,250.05,253.55,247.19,2600241,6427.57,27277, 817995,31.46
SHREEJISPG,EQ,23-09-2025,253.55,255.0,255.05,252.05,252.2,252.8,253.02,567745,1436.49,5556, 310970,54.77
SHREEJISPG,EQ,24-09-2025,252.8,250.0,254.0,245.05,245.15,249.95,251.0,558167,1400.99,4138, 284616,50.99
SHREEJISPG,EQ,25-09-2025,249.95,251.8,253.95,249.65,251.5,251.65,252.03,455679,1148.44,4623, 232192,50.96
SHREEJISPG,EQ,26-09-2025,251.65,252.0,253.7,245.0,246.0,246.3,247.21,287306,710.24,5347, 104153,36.25
