SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
SIGNORIA,ST,2024-03-19,65.0,131.0,137.55,124.45,137.55,137.55,132.59,"9,04,000","11,98,62,400.00",412,"9,04,000",100.0
SIGNORIA,ST,2024-03-20,137.55,135.0,139.0,131.0,135.0,131.85,134.18,"1,26,000","1,69,06,200.00",54,"1,22,000",96.83
SIGNORIA,ST,2024-03-21,131.85,131.85,138.4,128.0,138.4,138.4,136.56,"1,02,000","1,39,28,700.00",45,"90,000",88.24
SIGNORIA,ST,2024-03-22,138.4,139.95,145.3,139.95,145.3,145.3,144.08,"58,000","83,56,900.00",27,"46,000",79.31
SIGNORIA,ST,2024-03-26,145.3,152.4,152.55,152.4,152.55,152.55,152.48,"18,000","27,44,700.00",9,"18,000",100.0
SIGNORIA,ST,2024-03-27,152.55,160.15,160.15,160.15,160.15,160.15,160.15,"4,000","6,40,600.00",2,"4,000",100.0
SIGNORIA,ST,2024-03-28,160.15,168.15,168.15,168.1,168.15,168.15,168.14,"36,000","60,53,200.00",17,"32,000",88.89
SIGNORIA,ST,2024-04-01,168.15,176.55,176.55,162.0,170.0,170.0,171.54,"1,20,000","2,05,85,000.00",57,"1,10,000",91.67
SIGNORIA,ST,2024-04-02,170.0,168.0,168.0,161.5,165.0,166.5,162.9,"48,000","78,19,000.00",17,"48,000",100.0
SIGNORIA,ST,2024-04-03,166.5,160.0,174.8,158.2,170.0,170.0,168.73,"56,000","94,48,900.00",28,"54,000",96.43
SIGNORIA,SM,2024-04-04,170.0,173.35,173.35,161.0,165.0,165.0,166.37,"40,000","66,54,600.00",20,"26,000",65.0
SIGNORIA,SM,2024-04-05,165.0,164.0,198.0,164.0,185.5,185.55,185.59,"90,000","1,67,02,900.00",40,"64,000",71.11
SIGNORIA,SM,2024-04-08,185.55,185.3,187.4,177.0,180.0,180.0,182.24,"14,000","25,51,400.00",7,"10,000",71.43
SIGNORIA,SM,2024-04-09,180.0,180.0,182.0,173.35,173.35,173.35,178.08,"14,000","24,93,100.00",7,"10,000",71.43
SIGNORIA,SM,2024-04-10,173.35,172.1,172.1,168.0,168.0,168.0,170.01,"16,000","27,20,200.00",4,"16,000",100.0
SIGNORIA,SM,2024-04-12,168.0,170.0,170.0,165.0,165.0,165.0,167.0,"6,000","10,02,000.00",3,"6,000",100.0
SIGNORIA,SM,2024-04-15,165.0,158.0,165.0,155.0,165.0,165.0,159.67,"12,000","19,16,000.00",6,"12,000",100.0
SIGNORIA,SM,2024-04-16,165.0,165.0,183.3,158.0,183.3,183.3,169.21,"22,000","37,22,600.00",11,"18,000",81.82
SIGNORIA,SM,2024-04-18,183.3,174.4,174.4,170.0,170.0,170.0,171.1,"8,000","13,68,800.00",4,"6,000",75.0
SIGNORIA,SM,2024-04-19,170.0,163.5,170.0,162.1,169.0,169.0,166.74,"18,000","30,01,300.00",7,"16,000",88.89
SIGNORIA,SM,2024-04-22,169.0,170.0,172.0,165.65,165.65,165.65,168.55,"18,000","30,33,900.00",9,"12,000",66.67
SIGNORIA,SM,2024-04-23,165.65,162.0,163.5,162.0,162.5,162.5,162.78,"14,000","22,78,900.00",7,"12,000",85.71
SIGNORIA,SM,2024-04-24,162.5,160.0,161.5,160.0,160.0,160.0,160.08,"40,000","64,03,000.00",11,"40,000",100.0
SIGNORIA,SM,2024-04-25,160.0,152.6,164.9,152.6,159.0,159.0,157.69,"20,000","31,53,800.00",10,"16,000",80.0
SIGNORIA,SM,2024-04-26,159.0,158.0,158.7,158.0,158.0,158.0,158.07,"26,000","41,09,800.00",6,"26,000",100.0
SIGNORIA,SM,2024-04-29,158.0,154.1,155.5,151.0,155.0,155.0,154.1,"22,000","33,90,300.00",11,"20,000",90.91
SIGNORIA,SM,2024-04-30,155.0,147.5,155.0,144.0,144.0,146.0,148.63,"64,000","95,12,100.00",18,"64,000",100.0
SIGNORIA,SM,2024-05-02,146.0,141.35,150.0,141.35,150.0,148.15,146.76,"38,000","55,76,800.00",13,"36,000",94.74
SIGNORIA,SM,2024-05-03,148.15,148.15,152.0,143.0,149.95,146.45,148.55,"22,000","32,68,200.00",8,"20,000",90.91
SIGNORIA,SM,2024-05-06,146.45,149.0,149.0,140.5,140.5,142.25,145.56,"16,000","23,29,000.00",8,"14,000",87.5
SIGNORIA,SM,2024-05-07,142.25,140.15,142.0,131.85,137.0,137.0,137.41,"20,000","27,48,200.00",10,"18,000",90.0
SIGNORIA,SM,2024-05-08,137.0,137.0,159.0,136.0,159.0,153.45,144.43,"36,000","51,99,600.00",18,"32,000",88.89
