SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
SIMPLEX,EQ,03-08-2007,185.0,323.75,323.75,267.3,270.2,273.7,279.99,"98,17,331","2,74,87,62,074.30",-,"12,89,151",13.13
SIMPLEX,EQ,06-08-2007,273.7,260.0,284.4,252.0,283.5,278.8,266.16,"30,41,123","80,94,36,270.75",-,"2,16,213",7.11
SIMPLEX,EQ,07-08-2007,278.8,284.5,291.0,271.35,272.0,276.9,283.17,"25,05,073","70,93,66,632.70",-,"2,24,588",8.97
SIMPLEX,EQ,08-08-2007,276.9,278.9,285.95,276.0,280.9,280.2,281.81,"8,34,488","23,51,69,348.40",-,"1,24,073",14.87
SIMPLEX,EQ,09-08-2007,280.2,262.0,293.8,262.0,273.05,274.7,284.32,"8,71,453","24,77,71,978.85",-,"1,34,255",15.41
SIMPLEX,EQ,10-08-2007,274.7,265.9,273.5,260.0,272.5,271.1,267.25,"2,10,172","5,61,68,609.90",-,"52,611",25.03
SIMPLEX,EQ,13-08-2007,271.1,272.5,287.0,262.0,280.4,280.95,280.78,"8,37,904","23,52,64,552.90",-,"90,666",10.82
SIMPLEX,EQ,14-08-2007,280.95,281.0,283.5,275.0,276.0,275.45,279.06,"2,02,175","5,64,18,974.35",-,"55,619",27.51
SIMPLEX,EQ,16-08-2007,275.45,270.05,270.05,251.0,265.3,265.8,264.9,"88,968","2,35,67,986.30",-,"46,031",51.74
SIMPLEX,EQ,17-08-2007,265.8,279.9,279.9,245.0,259.0,261.05,259.74,"1,13,362","2,94,44,335.50",-,"55,142",48.64
SIMPLEX,EQ,20-08-2007,261.05,262.0,274.65,262.0,273.45,271.8,270.07,"71,097","1,92,01,421.35",-,"32,258",45.37
SIMPLEX,EQ,21-08-2007,271.8,262.0,278.0,253.35,258.5,257.1,263.56,"83,945","2,21,24,598.00",-,"44,340",52.82
SIMPLEX,EQ,22-08-2007,257.1,255.0,271.9,240.15,271.9,265.3,254.56,"87,763","2,23,41,284.35",-,"33,098",37.71
SIMPLEX,EQ,23-08-2007,265.3,270.2,274.0,260.15,270.0,267.75,268.31,"67,307","1,80,58,903.65",-,"26,347",39.14
SIMPLEX,EQ,24-08-2007,267.75,262.0,281.0,262.0,276.25,276.3,271.55,"42,370","1,15,05,734.40",-,"23,237",54.84
SIMPLEX,EQ,27-08-2007,276.3,277.0,286.4,266.0,279.0,279.1,281.16,"87,202","2,45,17,922.00",-,"31,549",36.18
SIMPLEX,EQ,28-08-2007,279.1,277.0,281.0,277.0,278.0,278.75,279.42,"43,579","1,21,76,957.95",-,"26,860",61.64
SIMPLEX,EQ,29-08-2007,278.75,270.0,288.0,263.0,284.0,285.25,283.86,"81,816","2,32,24,303.90",-,"30,401",37.16
SIMPLEX,EQ,30-08-2007,285.25,293.4,293.4,280.5,280.5,284.05,284.45,"36,442","1,03,66,052.40",-,"21,906",60.11
SIMPLEX,EQ,31-08-2007,284.05,279.1,292.75,279.1,291.55,291.0,289.08,"71,391","2,06,38,027.95",-,"38,867",54.44
SIMPLEX,EQ,03-09-2007,291.0,300.0,300.0,283.0,292.0,293.7,291.88,"38,707","1,12,97,645.10",-,"22,383",57.83
SIMPLEX,EQ,04-09-2007,293.7,296.0,299.0,286.5,297.5,296.55,293.78,"30,274","88,94,008.05",-,"17,643",58.28
SIMPLEX,EQ,05-09-2007,296.55,295.0,296.7,280.0,288.0,287.65,288.55,"25,749","74,29,852.40",-,"11,916",46.28
SIMPLEX,EQ,06-09-2007,287.65,285.15,302.0,285.15,293.0,296.45,297.2,"53,765","1,59,78,711.15",-,"22,614",42.06
SIMPLEX,EQ,07-09-2007,296.45,301.95,301.95,288.1,296.0,292.0,295.51,"34,767","1,02,73,835.45",-,"21,101",60.69
SIMPLEX,EQ,10-09-2007,292.0,282.5,305.5,282.5,305.5,303.85,298.5,"42,024","1,25,44,325.25",-,"24,845",59.12
SIMPLEX,EQ,11-09-2007,303.85,305.0,308.4,291.6,295.35,293.25,299.84,"16,890","50,64,320.95",-,"9,957",58.95
SIMPLEX,EQ,12-09-2007,293.25,298.95,304.4,291.0,303.5,302.8,299.85,"28,384","85,11,021.25",-,"18,997",66.93
SIMPLEX,EQ,13-09-2007,302.8,302.0,308.45,298.25,305.0,305.2,305.14,"20,144","61,46,810.65",-,"14,747",73.21
SIMPLEX,EQ,14-09-2007,305.2,310.0,313.0,292.6,294.0,294.8,305.16,"30,094","91,83,368.45",-,"11,952",39.72
SIMPLEX,EQ,17-09-2007,294.8,299.95,301.0,293.0,294.5,295.65,297.37,"10,087","29,99,539.40",-,"5,856",58.05
SIMPLEX,EQ,18-09-2007,295.65,296.95,326.85,295.0,309.0,309.4,312.84,"48,503","1,51,73,663.40",-,"23,950",49.38
SIMPLEX,EQ,19-09-2007,309.4,322.0,325.0,296.5,319.9,316.0,317.55,"34,033","1,08,07,245.55",-,"23,421",68.82
SIMPLEX,EQ,20-09-2007,316.0,312.15,324.0,305.0,305.0,309.5,316.53,"38,700","1,22,49,694.80",-,"10,191",26.33
SIMPLEX,EQ,21-09-2007,309.5,318.5,324.95,307.0,307.55,308.25,316.27,"24,917","78,80,455.95",-,"8,794",35.29
SIMPLEX,EQ,24-09-2007,308.25,311.0,312.95,300.0,300.0,300.6,304.28,"11,072","33,68,945.30",-,"6,626",59.84
SIMPLEX,EQ,25-09-2007,300.6,299.0,304.9,290.6,302.0,300.2,298.72,"8,446","25,23,010.55",-,"5,073",60.06
SIMPLEX,EQ,26-09-2007,300.2,296.0,302.95,296.0,298.5,298.5,299.4,"7,202","21,56,297.55",-,"5,168",71.76
SIMPLEX,EQ,27-09-2007,298.5,299.0,304.8,296.5,297.0,296.9,297.99,"7,440","22,17,038.55",-,"6,331",85.09
SIMPLEX,EQ,28-09-2007,296.9,314.45,315.0,283.5,300.0,294.7,297.47,"13,757","40,92,323.90",-,"9,106",66.19
SIMPLEX,EQ,01-10-2007,294.7,295.05,295.15,291.0,294.0,292.4,293.15,"3,502","10,26,617.05",-,"2,344",66.93
SIMPLEX,EQ,03-10-2007,292.4,290.05,298.95,280.6,282.5,284.3,288.3,"6,807","19,62,427.20",-,"5,100",74.92
SIMPLEX,EQ,04-10-2007,284.3,280.05,300.0,274.65,300.0,285.85,282.87,"15,996","45,24,767.65",-,"11,222",70.16
SIMPLEX,EQ,05-10-2007,285.85,289.95,292.0,280.0,282.0,281.65,284.05,"6,077","17,26,151.45",-,"3,790",62.37
SIMPLEX,EQ,08-10-2007,281.65,276.1,281.0,265.65,270.25,270.05,270.94,"8,116","21,98,958.45",-,"4,703",57.95
SIMPLEX,EQ,09-10-2007,270.05,268.1,285.0,262.0,282.1,279.7,276.42,"18,810","51,99,387.35",-,"10,178",54.11
SIMPLEX,EQ,10-10-2007,279.7,275.5,299.0,275.5,291.0,293.5,292.53,"32,352","94,63,891.90",-,"29,579",91.43
SIMPLEX,EQ,11-10-2007,293.5,285.5,292.0,285.1,288.0,289.3,288.05,"1,690","4,86,797.30",-,"1,125",66.57
SIMPLEX,EQ,12-10-2007,289.3,290.0,310.0,285.0,310.0,303.35,300.8,"18,840","56,67,094.30",-,"16,345",86.76
SIMPLEX,EQ,15-10-2007,303.35,300.0,309.0,293.0,295.05,295.85,297.03,"5,815","17,27,247.30",-,"3,304",56.82
SIMPLEX,EQ,16-10-2007,295.85,298.9,298.9,286.5,287.05,287.2,290.14,"2,900","8,41,412.60",-,"2,121",73.14
SIMPLEX,EQ,17-10-2007,287.2,284.0,285.0,265.0,285.0,285.0,283.56,"6,834","19,37,856.65",-,"5,410",79.16
SIMPLEX,EQ,18-10-2007,285.0,283.1,293.0,277.0,278.0,286.4,287.3,"9,010","25,88,548.70",-,"7,675",85.18
SIMPLEX,EQ,19-10-2007,286.4,261.0,290.0,261.0,272.0,283.5,280.79,"13,819","38,80,168.95",-,"11,452",82.87
SIMPLEX,EQ,22-10-2007,283.5,255.0,284.0,255.0,265.05,267.25,268.87,"9,239","24,84,108.85",-,"7,207",78.01
SIMPLEX,EQ,23-10-2007,267.25,270.0,280.0,258.3,260.15,261.65,264.55,"7,043","18,63,230.40",-,"5,032",71.45
SIMPLEX,EQ,24-10-2007,261.65,271.05,273.0,268.05,270.0,270.05,270.69,"2,588","7,00,537.10",-,"2,287",88.37
SIMPLEX,EQ,25-10-2007,270.05,274.0,274.75,265.0,272.0,272.0,271.11,"2,573","6,97,560.10",-,"2,127",82.67
SIMPLEX,EQ,26-10-2007,272.0,285.0,285.0,265.25,274.9,272.5,274.69,"2,304","6,32,875.20",-,"1,580",68.58
SIMPLEX,EQ,29-10-2007,272.5,275.0,297.0,271.0,288.0,285.85,286.81,"23,294","66,80,916.10",-,"6,882",29.54
SIMPLEX,EQ,30-10-2007,285.85,265.0,301.1,265.0,298.8,295.5,289.91,"12,870","37,31,197.75",-,"9,309",72.33
SIMPLEX,EQ,31-10-2007,295.5,283.2,298.0,283.2,293.0,291.65,291.19,"2,627","7,64,963.05",-,"1,928",73.39
SIMPLEX,EQ,01-11-2007,291.65,285.1,294.4,275.05,278.0,278.0,283.45,"3,673","10,41,099.50",-,"2,497",67.98
