SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
SINCLAIR,EQ,2024-04-10,134.3,137.0,137.95,133.0,134.0,134.35,134.87,"1,78,807","2,41,15,314.50","1,736","1,28,477",71.85
SINCLAIR,EQ,2024-04-12,134.35,135.0,137.0,122.0,126.5,125.2,128.01,"3,46,343","4,43,35,946.90","4,991","2,11,684",61.12
SINCLAIR,EQ,2024-04-15,125.2,124.0,129.0,120.1,127.0,126.6,124.83,"1,57,398","1,96,47,686.90","2,220","91,970",58.43
SINCLAIR,EQ,2024-04-16,126.6,122.15,128.0,122.15,127.9,127.55,126.84,"55,629","70,55,824.75",975,"36,010",64.73
SINCLAIR,EQ,2024-04-18,127.55,128.9,132.0,124.4,126.45,125.85,128.38,"1,41,037","1,81,06,556.30","2,499","91,519",64.89
SINCLAIR,EQ,2024-04-19,125.85,126.0,127.45,124.7,126.55,125.75,126.3,"84,891","1,07,21,321.55","1,543","58,483",68.89
SINCLAIR,EQ,2024-04-22,125.75,126.55,131.0,125.1,126.5,127.2,126.9,"94,693","1,20,16,194.50","2,335","53,383",56.37
SINCLAIR,EQ,2024-04-23,127.2,128.2,129.0,127.45,128.2,128.3,128.15,"44,355","56,83,872.05","1,020","26,992",60.85
SINCLAIR,EQ,2024-04-24,128.3,130.5,131.2,126.8,126.9,127.25,129.35,"1,10,686","1,43,17,754.30","1,771","75,379",68.1
SINCLAIR,EQ,2024-04-25,127.25,127.25,128.6,125.75,126.5,126.65,126.65,"72,350","91,63,088.75","1,431","52,158",72.09
SINCLAIR,EQ,2024-04-26,126.65,126.65,127.85,124.95,126.5,125.85,126.36,"73,588","92,98,239.70","1,449","46,860",63.68
SINCLAIR,EQ,2024-04-29,125.85,125.75,127.0,123.45,124.9,124.7,124.76,"98,093","1,22,37,865.05","1,541","69,506",70.86
SINCLAIR,EQ,2024-04-30,124.7,124.7,125.5,121.95,124.1,123.9,123.78,"1,16,231","1,43,87,600.80","1,424","77,428",66.62
SINCLAIR,EQ,2024-05-02,123.9,124.9,129.0,123.75,126.6,127.2,126.38,"1,09,808","1,38,77,892.25","1,453","72,521",66.04
SINCLAIR,EQ,2024-05-03,127.2,128.05,128.05,124.5,126.75,125.7,125.69,"1,06,959","1,34,43,263.15","1,734","54,451",50.91
SINCLAIR,EQ,2024-05-06,125.7,126.0,127.05,121.0,123.1,123.55,122.7,"1,12,902","1,38,53,539.00","2,084","57,860",51.25
SINCLAIR,EQ,2024-05-07,123.55,123.55,125.85,122.0,125.85,125.0,124.03,"1,20,828","1,49,86,488.05","1,527","80,126",66.31
SINCLAIR,EQ,2024-05-08,125.0,124.85,124.9,122.65,124.5,123.3,123.71,"25,160","31,12,659.65",543,"15,221",60.5
SINCLAIR,EQ,2024-05-09,123.3,123.3,124.05,121.2,121.8,121.95,122.51,"19,989","24,48,919.85",488,"16,321",81.65
SINCLAIR,EQ,2024-05-10,121.95,122.0,122.05,119.0,119.05,120.15,120.62,"32,393","39,07,132.70",740,"22,821",70.45
SINCLAIR,EQ,2024-05-13,120.15,122.9,122.9,118.3,121.5,120.3,120.1,"29,118","34,96,930.20",633,"20,577",70.67
SINCLAIR,EQ,2024-05-14,120.3,117.5,127.0,117.5,125.0,124.45,123.54,"51,247","63,30,809.95",705,"32,021",62.48
SINCLAIR,EQ,2024-05-15,124.45,126.9,126.9,120.5,122.05,121.8,122.62,"52,728","64,65,289.75",791,"35,509",67.34
SINCLAIR,EQ,2024-05-16,121.8,122.1,123.9,122.05,123.9,123.55,123.07,"10,865","13,37,114.30",437,"5,792",53.31
SINCLAIR,EQ,2024-05-17,123.55,123.55,123.55,117.65,122.0,121.5,121.07,"76,407","92,50,278.05","1,095","50,878",66.59
SINCLAIR,EQ,2024-05-18,121.5,121.5,124.4,121.2,123.0,123.05,122.5,"10,252","12,55,885.70",189,"8,441",82.34
SINCLAIR,EQ,2024-05-21,123.05,123.95,123.95,116.2,118.95,118.05,119.3,"1,20,596","1,43,86,726.15","1,404","90,336",74.91
SINCLAIR,EQ,2024-05-22,118.05,119.8,119.8,114.25,116.7,118.7,116.68,"1,14,348","1,33,41,663.40","1,671","64,278",56.21
SINCLAIR,EQ,2024-05-23,118.7,119.5,119.75,115.0,115.0,115.6,116.51,"48,263","56,23,217.10",870,"32,326",66.98
