SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
STINDIA,EQ,1996-01-08,70.0,63.0,63.0,63.0,-,63.0,63.0,100,"6,300.00",-,-,-
STINDIA,EQ,1996-01-09,63.0,57.0,57.0,57.0,-,57.0,57.0,100,"5,700.00",-,-,-
STINDIA,EQ,1996-01-11,57.0,52.0,52.0,52.0,-,52.0,52.0,100,"5,200.00",-,-,-
STINDIA,EQ,1996-01-16,52.0,52.0,52.0,52.0,-,52.0,52.0,100,"5,200.00",-,-,-
STINDIA,EQ,1996-01-18,52.0,50.0,50.0,50.0,-,50.0,50.0,200,"10,000.00",-,-,-
STINDIA,EQ,1996-01-19,50.0,49.0,49.0,49.0,-,49.0,49.0,200,"9,800.00",-,-,-
STINDIA,EQ,1996-01-24,49.0,48.0,48.0,48.0,-,48.0,48.0,100,"4,800.00",-,-,-
STINDIA,EQ,1996-01-31,48.0,48.0,48.0,48.0,-,48.0,48.0,100,"4,800.00",-,-,-
STINDIA,EQ,1996-02-09,48.0,50.0,50.0,50.0,-,50.0,50.0,200,"10,000.00",-,-,-
STINDIA,EQ,1996-02-16,50.0,45.0,45.0,45.0,-,45.0,45.0,100,"4,500.00",-,-,-
STINDIA,EQ,1996-02-22,45.0,44.9,45.0,44.9,-,45.0,44.95,200,"8,990.00",-,-,-
STINDIA,EQ,1996-02-23,45.0,44.9,44.9,44.5,-,44.5,44.66,500,"22,330.00",-,-,-
STINDIA,EQ,1996-02-26,44.5,44.5,44.5,44.5,-,44.5,44.5,200,"8,900.00",-,-,-
STINDIA,EQ,1996-02-27,44.5,44.5,45.0,44.5,-,45.0,44.75,200,"8,950.00",-,-,-
STINDIA,EQ,1996-02-28,45.0,43.0,43.0,43.0,-,43.0,43.0,100,"4,300.00",-,-,-
STINDIA,EQ,1996-03-27,43.0,38.8,38.8,38.8,-,38.8,38.8,100,"3,880.00",-,-,-
STINDIA,EQ,1996-04-03,38.8,35.0,35.0,35.0,-,35.0,35.0,100,"3,500.00",-,-,-
STINDIA,EQ,1996-04-04,35.0,32.5,32.5,32.5,-,32.5,32.5,100,"3,250.00",-,-,-
STINDIA,EQ,1996-04-09,32.5,30.0,30.0,29.5,-,30.0,29.8,500,"14,900.00",-,-,-
STINDIA,EQ,1996-04-12,30.0,27.0,27.0,27.0,-,27.0,27.0,100,"2,700.00",-,-,-
STINDIA,EQ,1996-04-15,27.0,27.0,28.0,28.0,-,28.0,28.0,100,"2,800.00",-,-,-
STINDIA,EQ,1996-04-16,28.0,28.0,28.0,28.0,-,28.0,28.0,100,"2,800.00",-,-,-
STINDIA,EQ,1996-04-18,28.0,30.8,30.8,30.8,-,30.8,30.8,100,"3,080.00",-,-,-
STINDIA,EQ,1996-04-23,30.8,27.75,27.75,27.75,-,27.75,27.75,100,"2,775.00",-,-,-
STINDIA,EQ,1996-04-25,27.75,30.5,30.5,30.5,-,30.5,30.5,100,"3,050.00",-,-,-
STINDIA,EQ,1996-04-26,30.5,30.5,30.5,30.5,-,30.5,30.5,100,"3,050.00",-,-,-
STINDIA,EQ,1996-05-02,30.5,27.5,27.5,27.5,-,27.5,27.5,200,"5,500.00",-,-,-
STINDIA,EQ,1996-05-06,27.5,27.5,29.6,29.5,-,29.55,29.55,300,"8,865.00",-,-,-
STINDIA,EQ,1996-05-07,29.55,28.0,28.0,28.0,-,28.0,28.0,100,"2,800.00",-,-,-
STINDIA,EQ,1996-05-09,28.0,26.1,26.1,26.1,-,26.1,26.1,100,"2,610.00",-,-,-
STINDIA,EQ,1996-05-27,26.1,28.5,28.5,28.5,-,28.5,28.5,200,"5,700.00",-,-,-
STINDIA,EQ,1996-06-03,28.5,28.5,28.5,28.0,-,28.0,28.25,200,"5,650.00",-,-,-
STINDIA,EQ,1996-06-05,28.0,30.0,30.0,30.0,-,30.0,30.0,100,"3,000.00",-,-,-
STINDIA,EQ,1996-06-06,30.0,33.0,33.0,33.0,-,33.0,33.0,100,"3,300.00",-,-,-
STINDIA,EQ,1996-06-26,33.0,36.5,36.5,36.5,-,36.5,36.5,100,"3,650.00",-,-,-
STINDIA,EQ,1996-07-22,36.5,40.35,40.35,40.35,-,40.35,40.35,200,"8,070.00",-,-,-
STINDIA,EQ,1996-07-23,40.35,44.35,44.35,41.0,-,41.0,43.23,300,"12,970.00",-,-,-
STINDIA,EQ,1996-07-26,41.0,41.0,41.0,41.0,-,41.0,41.0,100,"4,100.00",-,-,-
STINDIA,EQ,1996-07-29,41.0,38.05,38.05,38.05,-,38.05,38.05,100,"3,805.00",-,-,-
STINDIA,EQ,1996-07-30,38.05,38.0,41.85,38.0,-,41.85,39.93,200,"7,985.00",-,-,-
STINDIA,EQ,1996-07-31,41.85,43.5,43.5,43.5,-,43.5,43.5,100,"4,350.00",-,-,-
STINDIA,EQ,1996-08-01,43.5,45.05,45.05,45.05,-,45.05,45.05,100,"4,505.00",-,-,-
STINDIA,EQ,1996-08-05,45.05,47.0,47.0,45.2,-,45.2,45.71,700,"32,000.00",-,-,-
STINDIA,EQ,1996-08-06,45.2,47.8,48.0,47.8,-,48.0,47.9,200,"9,580.00",-,-,-
