SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
SUNCLAYTON,EQ,2008-06-20,675.5,498.8,498.8,265.1,300.0,289.3,305.57,"1,30,678","3,99,31,632.00",-,"12,201",9.34
SUNCLAYTON,EQ,2008-06-23,289.3,272.0,280.0,231.5,231.5,233.25,250.44,"17,316","43,36,666.50",-,"3,542",20.46
SUNCLAYTON,EQ,2008-06-24,233.25,255.0,255.0,215.5,219.25,218.7,223.71,"25,508","57,06,458.55",-,"9,360",36.69
SUNCLAYTON,EQ,2008-06-25,218.7,205.0,215.0,200.15,208.0,207.8,208.36,"6,148","12,81,016.55",-,"1,990",32.37
SUNCLAYTON,EQ,2008-06-26,207.8,212.0,224.0,206.6,206.6,210.85,215.81,"4,204","9,07,262.75",-,"1,532",36.44
SUNCLAYTON,EQ,2008-06-27,210.85,205.0,207.0,185.05,195.0,194.9,194.46,"8,741","16,99,760.85",-,"2,581",29.53
SUNCLAYTON,EQ,2008-06-30,194.9,188.5,193.0,172.0,183.9,180.2,184.16,965,"1,77,713.90",-,574,59.48
SUNCLAYTON,EQ,2008-07-01,180.2,195.0,200.0,173.0,178.75,176.75,180.11,"1,260","2,26,943.45",-,814,64.6
SUNCLAYTON,EQ,2008-07-02,176.75,160.1,168.9,155.5,160.0,159.35,159.6,"4,653","7,42,626.65",-,"3,267",70.21
SUNCLAYTON,EQ,2008-07-03,159.35,143.0,185.0,143.0,154.4,154.5,154.96,601,"93,130.30",-,374,62.23
SUNCLAYTON,EQ,2008-07-04,154.5,150.0,168.0,150.0,154.5,156.5,157.6,"1,962","3,09,208.20",-,"1,159",59.07
SUNCLAYTON,EQ,2008-07-07,156.5,155.1,174.8,155.1,157.1,158.95,159.89,890,"1,42,300.60",-,452,50.79
SUNCLAYTON,EQ,2008-07-08,158.95,158.1,187.0,156.0,173.95,171.8,164.67,"1,022","1,68,288.75",-,852,83.37
SUNCLAYTON,EQ,2008-07-09,171.8,180.0,194.0,164.0,180.0,180.0,177.46,"1,600","2,83,941.10",-,"1,277",79.81
SUNCLAYTON,EQ,2008-07-10,180.0,188.0,188.0,176.0,176.0,176.0,179.56,766,"1,37,539.15",-,517,67.49
