SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
SHIV-VANI,EQ,22-07-2005,189.4,189.9,192.9,182.0,189.0,188.7,189.56,"34,153","64,73,939.05",-,"11,314",33.13
SHIV-VANI,EQ,25-07-2005,188.7,199.0,199.0,180.75,184.9,184.25,187.06,"11,754","21,98,683.85",-,"7,400",62.96
SHIV-VANI,EQ,26-07-2005,184.25,187.0,194.9,187.0,189.0,189.15,189.95,"48,107","91,37,762.70",-,"28,958",60.19
SHIV-VANI,EQ,27-07-2005,189.15,192.0,192.1,184.05,185.05,185.75,188.75,"11,975","22,60,288.75",-,"10,384",86.71
SHIV-VANI,EQ,29-07-2005,185.75,189.0,189.0,175.0,176.1,177.7,183.06,"14,123","25,85,413.20",-,"11,542",81.72
SHIV-VANI,EQ,01-08-2005,177.7,178.5,180.05,171.15,180.0,179.3,177.41,"5,585","9,90,837.05",-,"3,560",63.74
SHIV-VANI,EQ,02-08-2005,179.3,185.0,185.8,181.0,182.4,181.95,182.14,"13,724","24,99,704.65",-,"12,790",93.19
SHIV-VANI,EQ,03-08-2005,181.95,184.8,198.4,184.0,189.7,189.1,191.74,"74,984","1,43,77,194.15",-,"26,300",35.07
SHIV-VANI,EQ,04-08-2005,189.1,191.4,208.05,189.7,198.95,199.3,202.31,"3,04,584","6,16,21,590.60",-,"1,00,636",33.04
SHIV-VANI,EQ,05-08-2005,199.3,200.5,205.6,197.0,197.0,198.95,202.26,"1,40,141","2,83,44,393.05",-,"66,083",47.15
SHIV-VANI,EQ,08-08-2005,198.95,200.9,201.0,187.5,189.75,189.1,194.83,"49,613","96,66,063.10",-,"26,351",53.11
SHIV-VANI,EQ,09-08-2005,189.1,190.7,193.9,186.0,186.9,186.85,189.48,"29,229","55,38,274.10",-,"19,135",65.47
SHIV-VANI,EQ,10-08-2005,186.85,189.7,193.85,186.25,193.75,191.35,189.82,"85,446","1,62,19,548.00",-,"56,308",65.9
SHIV-VANI,EQ,11-08-2005,191.35,195.85,210.5,195.75,210.5,210.5,208.39,"2,97,272","6,19,49,519.35",-,"1,24,025",41.72
SHIV-VANI,EQ,12-08-2005,210.5,216.3,231.55,213.0,226.4,224.75,223.3,"3,12,480","6,97,78,042.80",-,"1,19,657",38.29
SHIV-VANI,EQ,16-08-2005,224.75,222.0,234.5,216.15,226.0,226.8,227.47,"1,79,766","4,08,91,439.75",-,"76,599",42.61
SHIV-VANI,EQ,17-08-2005,226.8,227.9,228.0,218.0,219.2,220.2,222.11,"57,970","1,28,75,771.25",-,"29,129",50.25
SHIV-VANI,EQ,18-08-2005,220.2,223.0,223.0,204.0,205.6,206.1,212.42,"1,07,503","2,28,36,086.10",-,"67,112",62.43
SHIV-VANI,EQ,19-08-2005,206.1,211.75,212.4,201.0,201.0,202.3,206.16,"1,18,598","2,44,50,098.65",-,"73,486",61.96
SHIV-VANI,EQ,22-08-2005,202.3,202.0,215.1,200.0,204.0,203.7,208.97,"1,62,458","3,39,49,595.05",-,"1,02,869",63.32
SHIV-VANI,EQ,23-08-2005,203.7,205.0,218.95,203.1,207.0,204.8,212.48,"2,21,020","4,69,63,119.40",-,"98,940",44.77
SHIV-VANI,EQ,24-08-2005,204.8,210.0,210.9,191.9,194.0,195.4,201.94,"1,95,270","3,94,33,424.30",-,"1,18,273",60.57
SHIV-VANI,EQ,25-08-2005,195.4,198.8,211.8,197.7,205.15,206.6,205.84,"2,07,565","4,27,25,489.95",-,"85,588",41.23
SHIV-VANI,EQ,26-08-2005,206.6,209.6,212.0,206.05,206.25,207.1,208.76,"57,238","1,19,49,122.25",-,"23,305",40.72
SHIV-VANI,EQ,29-08-2005,207.1,209.25,212.9,202.25,208.85,210.75,207.56,"1,00,632","2,08,87,267.80",-,"54,631",54.29
SHIV-VANI,EQ,30-08-2005,210.75,213.0,220.0,213.0,216.0,215.7,216.76,"1,53,581","3,32,90,793.40",-,"92,360",60.14
SHIV-VANI,EQ,31-08-2005,215.7,218.05,237.3,218.05,237.3,237.3,231.74,"3,37,569","7,82,28,966.25",-,"1,73,256",51.32
SHIV-VANI,EQ,01-09-2005,237.3,248.0,249.1,225.6,231.0,231.9,238.56,"2,84,404","6,78,46,582.60",-,"1,41,616",49.79
SHIV-VANI,EQ,02-09-2005,231.9,234.0,236.85,222.5,228.0,227.0,229.26,"1,45,311","3,33,14,559.45",-,"72,589",49.95
SHIV-VANI,EQ,05-09-2005,227.0,231.0,238.35,227.05,237.1,237.3,236.99,"1,83,924","4,35,88,382.90",-,"1,06,854",58.1
SHIV-VANI,EQ,06-09-2005,237.3,240.45,240.45,227.15,229.0,228.75,230.9,"1,07,489","2,48,18,864.95",-,"68,011",63.27
SHIV-VANI,EQ,08-09-2005,228.75,237.5,237.5,228.5,231.0,231.95,232.01,"60,610","1,40,62,194.90",-,"38,736",63.91
SHIV-VANI,EQ,09-09-2005,231.95,233.0,234.9,225.1,227.5,227.4,230.27,"70,767","1,62,95,303.95",-,"49,227",69.56
SHIV-VANI,EQ,12-09-2005,227.4,229.95,230.0,222.2,223.75,225.1,226.14,"34,178","77,28,964.95",-,"21,902",64.08
