SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
SWANDEF,BE,2025-01-21,10.0,37.8,37.8,37.8,37.8,37.8,37.8,"7,098","2,68,304.40",139,-,-
SWANDEF,BE,2025-01-22,37.8,39.65,39.65,39.65,39.65,39.65,39.65,"1,046","41,473.90",73,-,-
SWANDEF,BE,2025-01-23,39.65,41.6,41.6,41.6,41.6,41.6,41.6,472,"19,635.20",52,-,-
SWANDEF,BE,2025-01-24,41.6,43.65,43.65,43.65,43.65,43.65,43.65,"1,802","78,657.30",44,-,-
SWANDEF,BE,2025-01-27,43.65,45.8,45.8,45.8,45.8,45.8,45.8,349,"15,984.20",40,-,-
SWANDEF,BE,2025-01-28,45.8,48.05,48.05,48.05,48.05,48.05,48.05,"1,172","56,314.60",46,-,-
SWANDEF,BE,2025-02-03,48.05,50.45,50.45,50.45,50.45,50.45,50.45,539,"27,192.55",66,-,-
SWANDEF,BE,2025-02-10,50.45,52.97,52.97,52.97,52.97,52.97,52.97,"1,584","83,904.48",67,-,-
SWANDEF,BE,2025-02-17,52.97,55.61,55.61,55.61,55.61,55.61,55.61,347,"19,296.67",59,-,-
SWANDEF,BE,2025-02-24,55.61,58.39,58.39,58.39,58.39,58.39,58.39,393,"22,947.27",45,-,-
SWANDEF,BE,2025-03-03,58.39,61.3,61.3,61.3,61.3,61.3,61.3,718,"44,013.40",55,-,-
SWANDEF,BE,2025-03-04,61.3,64.36,64.36,64.36,64.36,64.36,64.36,563,"36,234.68",41,-,-
SWANDEF,BE,2025-03-05,64.36,67.57,67.57,67.57,67.57,67.57,67.57,164,"11,081.48",32,-,-
SWANDEF,BE,2025-03-06,67.57,70.94,70.94,70.94,70.94,70.94,70.94,220,"15,606.80",32,-,-
SWANDEF,BE,2025-03-07,70.94,74.48,74.48,74.48,74.48,74.48,74.48,122,"9,086.56",28,-,-
SWANDEF,BE,2025-03-10,74.48,78.2,78.2,78.2,78.2,78.2,78.2,984,"76,948.80",52,-,-
SWANDEF,BE,2025-03-17,78.2,82.11,82.11,82.11,82.11,82.11,82.11,373,"30,627.03",39,-,-
SWANDEF,BE,2025-03-24,82.11,85.0,86.21,85.0,86.21,86.21,86.13,695,"59,860.29",70,-,-
SWANDEF,BE,2025-04-01,86.21,90.52,90.52,90.52,90.52,90.52,90.52,130,"11,767.60",31,-,-
SWANDEF,BE,2025-04-07,90.52,95.04,95.04,95.04,95.04,95.04,95.04,566,"53,792.64",49,-,-
SWANDEF,BE,2025-04-15,95.04,99.79,99.79,99.79,99.79,99.79,99.79,555,"55,383.45",65,-,-
SWANDEF,BE,2025-04-21,99.79,104.77,104.77,104.77,104.77,104.77,104.77,373,"39,079.21",66,-,-
SWANDEF,BE,2025-04-28,104.77,110.0,110.0,110.0,110.0,110.0,110.0,961,"1,05,710.00",66,-,-
SWANDEF,BE,2025-05-02,110.0,115.5,115.5,115.5,115.5,115.5,115.5,266,"30,723.00",51,-,-
SWANDEF,BE,2025-05-05,115.5,121.27,121.27,121.27,121.27,121.27,121.27,540,"65,485.80",56,-,-
SWANDEF,BE,2025-05-06,121.27,127.33,127.33,127.33,127.33,127.33,127.33,318,"40,490.94",40,-,-
SWANDEF,BE,2025-05-07,127.33,133.69,133.69,133.69,133.69,133.69,133.69,258,"34,492.02",36,-,-
SWANDEF,BE,2025-05-08,133.69,140.37,140.37,140.37,140.37,140.37,140.37,599,"84,081.63",36,-,-
SWANDEF,BE,2025-05-09,140.37,147.38,147.38,147.38,147.38,147.38,147.38,213,"31,391.94",36,-,-
SWANDEF,BE,2025-05-19,147.38,154.74,154.74,154.74,154.74,154.74,154.74,193,"29,864.82",46,-,-
SWANDEF,BE,2025-05-26,154.74,162.47,162.47,162.47,162.47,162.47,162.47,273,"44,354.31",47,-,-
SWANDEF,BE,2025-06-02,162.47,170.59,170.59,170.59,170.59,170.59,170.59,527,"89,900.93",75,-,-
SWANDEF,BE,2025-06-09,170.59,179.11,179.11,179.11,179.11,179.11,179.11,952,"1,70,512.72",67,-,-
SWANDEF,BE,2025-06-16,179.11,188.06,188.06,188.06,188.06,188.06,188.06,234,"44,006.04",41,-,-
SWANDEF,BE,2025-06-23,188.06,197.46,197.46,197.46,197.46,197.46,197.46,614,"1,21,240.44",75,-,-
SWANDEF,BE,2025-06-30,197.46,207.33,207.33,207.33,207.33,207.33,207.33,372,"77,126.76",68,-,-
SWANDEF,BE,2025-07-01,207.33,217.69,217.69,217.69,217.69,217.69,217.69,132,"28,735.08",30,-,-
SWANDEF,BE,2025-07-02,217.69,228.57,228.57,228.57,228.57,228.57,228.57,311,"71,085.27",34,-,-
SWANDEF,BE,2025-07-03,228.57,239.99,239.99,239.99,239.99,239.99,239.99,276,"66,237.24",43,-,-
SWANDEF,BE,2025-07-04,239.99,251.98,251.98,251.98,251.98,251.98,251.98,212,"53,419.76",33,-,-
SWANDEF,BE,2025-07-07,251.98,264.57,264.57,264.57,264.57,264.57,264.57,247,"65,348.79",43,-,-
SWANDEF,BE,2025-07-08,264.57,277.79,277.79,277.79,277.79,277.79,277.79,564,"1,56,673.56",36,-,-
SWANDEF,BE,2025-07-14,277.79,291.67,291.67,291.67,291.67,291.67,291.67,395,"1,15,209.65",66,-,-
SWANDEF,BE,2025-07-21,291.67,306.25,306.25,306.25,306.25,306.25,306.25,537,"1,64,456.25",68,-,-
SWANDEF,BE,2025-07-28,306.25,321.56,321.56,321.56,321.56,321.56,321.56,466,"1,49,846.96",60,-,-
SWANDEF,BE,2025-08-04,321.6,337.65,337.65,337.65,337.65,337.65,337.65,884,2.98,64, -, -
SWANDEF,BE,2025-08-11,337.65,342.0,354.5,342.0,354.5,354.5,353.94,446,1.58,63, -, -
SWANDEF,BE,2025-08-18,354.5,372.0,372.2,372.0,372.2,372.2,372.2,950,3.54,61, -, -
SWANDEF,BE,2025-08-25,372.2,390.8,390.8,390.8,390.8,390.8,390.8,4644,18.15,75, -, -
SWANDEF,BE,2025-09-01,390.8,410.3,410.3,410.3,410.3,410.3,410.3,319,1.31,51, -, -
SWANDEF,BE,2025-09-02,410.3,430.8,430.8,430.8,430.8,430.8,430.8,582,2.51,42, -, -
SWANDEF,BE,2025-09-03,430.8,452.3,452.3,452.3,452.3,452.3,452.3,836,3.78,58, -, -
SWANDEF,BE,2025-09-04,452.3,474.9,474.9,474.9,474.9,474.9,474.9,361,1.71,35, -, -
SWANDEF,BE,2025-09-05,474.9,498.6,498.6,498.6,498.6,498.6,498.6,252,1.26,27, -, -
SWANDEF,BE,2025-09-08,498.6,523.5,523.5,523.5,523.5,523.5,523.5,649,3.4,58, -, -
SWANDEF,BE,2025-09-15,523.5,549.6,549.65,549.6,549.65,549.65,549.65,731,4.02,92, -, -
