SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
TANFAC,EQ,02-01-1996,27.0,26.5,26.5,26.5,-,26.5,26.5,100,"2,650.00",-,-,-
TANFAC,EQ,03-01-1996,26.5,25.0,25.0,25.0,-,25.0,25.0,"1,500","37,500.00",-,-,-
TANFAC,EQ,04-01-1996,25.0,24.0,24.0,24.0,-,24.0,24.0,300,"7,200.00",-,-,-
TANFAC,EQ,05-01-1996,24.0,24.0,24.5,24.0,-,24.5,24.25,200,"4,850.00",-,-,-
TANFAC,EQ,08-01-1996,24.5,23.0,23.0,23.0,-,23.0,23.0,100,"2,300.00",-,-,-
TANFAC,EQ,09-01-1996,23.0,23.05,23.05,23.05,-,23.05,23.05,100,"2,305.00",-,-,-
TANFAC,EQ,17-01-1996,23.05,24.0,24.0,24.0,-,24.0,24.0,100,"2,400.00",-,-,-
TANFAC,EQ,18-01-1996,24.0,24.0,24.0,24.0,-,24.0,24.0,100,"2,400.00",-,-,-
TANFAC,EQ,19-01-1996,24.0,22.05,24.0,22.05,-,24.0,23.35,150,"3,502.50",-,-,-
TANFAC,EQ,22-01-1996,24.0,23.0,23.0,23.0,-,23.0,23.0,"1,000","23,000.00",-,-,-
TANFAC,EQ,23-01-1996,23.0,23.0,23.0,22.05,-,22.05,22.68,300,"6,805.00",-,-,-
TANFAC,EQ,24-01-1996,22.05,22.0,22.0,20.0,-,20.0,20.08,"1,300","26,100.00",-,-,-
TANFAC,EQ,25-01-1996,20.0,19.0,20.5,19.0,-,20.5,20.13,400,"8,050.00",-,-,-
TANFAC,EQ,29-01-1996,20.5,22.5,22.55,21.75,-,21.95,22.2,850,"18,872.50",-,-,-
TANFAC,EQ,31-01-1996,21.95,21.75,21.75,21.75,-,21.75,21.75,100,"2,175.00",-,-,-
TANFAC,EQ,02-02-1996,21.75,23.5,23.5,23.5,-,23.5,23.5,100,"2,350.00",-,-,-
TANFAC,EQ,05-02-1996,23.5,23.5,25.75,25.75,-,25.75,25.75,50,"1,287.50",-,-,-
TANFAC,EQ,06-02-1996,25.75,25.75,26.0,25.6,-,26.0,25.8,600,"15,480.00",-,-,-
TANFAC,EQ,07-02-1996,26.0,26.5,26.5,26.0,-,26.0,26.17,300,"7,850.00",-,-,-
TANFAC,EQ,08-02-1996,26.0,26.0,26.5,25.0,-,26.5,25.75,500,"12,875.00",-,-,-
TANFAC,EQ,09-02-1996,26.5,26.5,27.0,26.5,-,27.0,26.88,400,"10,750.00",-,-,-
TANFAC,EQ,12-02-1996,27.0,25.0,27.25,25.0,-,27.25,26.09,400,"10,435.00",-,-,-
TANFAC,EQ,13-02-1996,27.25,27.0,30.0,27.0,-,30.0,28.5,200,"5,700.00",-,-,-
TANFAC,EQ,14-02-1996,30.0,30.0,30.0,29.9,-,29.9,29.95,200,"5,990.00",-,-,-
TANFAC,EQ,15-02-1996,29.9,30.0,31.0,30.0,-,31.0,30.46,"2,050","62,450.00",-,-,-
TANFAC,EQ,16-02-1996,31.0,29.5,30.5,29.5,-,30.0,30.15,"1,150","34,675.00",-,-,-
TANFAC,EQ,19-02-1996,30.0,31.0,31.0,30.5,-,30.5,30.83,300,"9,250.00",-,-,-
TANFAC,EQ,20-02-1996,30.5,30.5,30.5,28.5,-,28.5,29.11,950,"27,650.00",-,-,-
TANFAC,EQ,26-02-1996,28.5,28.4,28.4,28.25,-,28.25,28.33,200,"5,665.00",-,-,-
TANFAC,EQ,27-02-1996,28.25,28.25,29.0,28.0,-,28.05,28.28,"1,100","31,102.50",-,-,-
TANFAC,EQ,28-02-1996,28.05,28.0,28.0,28.0,-,28.0,28.0,50,"1,400.00",-,-,-
TANFAC,EQ,29-02-1996,28.0,27.0,27.25,27.0,-,27.0,27.04,600,"16,225.00",-,-,-
TANFAC,EQ,01-03-1996,27.0,27.0,27.0,24.5,-,25.2,25.36,750,"19,022.50",-,-,-
TANFAC,EQ,04-03-1996,25.2,23.0,23.0,22.75,-,22.75,22.92,150,"3,437.50",-,-,-
TANFAC,EQ,06-03-1996,22.75,23.25,23.25,23.0,-,23.0,23.06,850,"19,602.50",-,-,-
TANFAC,EQ,07-03-1996,23.0,23.5,24.0,23.0,-,23.05,23.23,"3,900","90,587.50",-,-,-
TANFAC,EQ,08-03-1996,23.05,23.05,23.0,22.5,-,22.5,22.54,"2,300","51,850.00",-,-,-
TANFAC,EQ,11-03-1996,22.5,22.75,22.95,22.0,-,22.05,22.53,"1,400","31,542.50",-,-,-
TANFAC,EQ,12-03-1996,22.05,22.25,22.25,22.0,-,22.0,22.24,"10,800","2,40,165.00",-,-,-
TANFAC,EQ,13-03-1996,22.0,22.0,22.0,22.0,-,22.0,22.0,200,"4,400.00",-,-,-
TANFAC,EQ,14-03-1996,22.0,22.5,22.5,21.5,-,21.75,22.07,"2,600","57,390.00",-,-,-
TANFAC,EQ,15-03-1996,21.75,22.0,22.0,21.25,-,21.75,21.9,650,"14,237.50",-,-,-
TANFAC,EQ,18-03-1996,21.75,21.75,21.75,21.0,-,21.0,21.19,400,"8,475.00",-,-,-
TANFAC,EQ,19-03-1996,21.0,21.0,22.0,21.0,-,21.0,21.31,850,"18,112.50",-,-,-
TANFAC,EQ,21-03-1996,21.0,22.0,22.5,21.5,-,22.0,22.01,"3,300","72,625.00",-,-,-
TANFAC,EQ,22-03-1996,22.0,21.5,21.5,21.0,-,21.0,21.05,"1,100","23,152.50",-,-,-
TANFAC,EQ,25-03-1996,21.0,21.0,21.0,20.55,-,20.95,20.97,"2,950","61,847.50",-,-,-
TANFAC,EQ,26-03-1996,20.95,20.95,21.0,20.8,-,20.85,20.98,"2,100","44,060.00",-,-,-
TANFAC,EQ,27-03-1996,20.85,21.25,21.25,21.0,-,21.0,21.02,"2,700","56,750.00",-,-,-
