SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
TATAMTRDVR,EQ,05-11-2008,305.0,150.25,269.0,150.25,257.9,238.1,221.45,"7,154","15,84,221.40",-,360,5.03
TATAMTRDVR,EQ,06-11-2008,238.1,210.0,239.85,210.0,215.05,219.3,226.72,44,"9,975.55",-,20,45.45
TATAMTRDVR,EQ,07-11-2008,219.3,229.0,261.7,180.05,220.2,241.0,250.13,250,"62,532.85",-,180,72.00
TATAMTRDVR,EQ,10-11-2008,241.0,275.0,286.0,210.5,226.25,238.4,252.93,501,"1,26,716.30",-,35,6.99
TATAMTRDVR,EQ,11-11-2008,238.4,267.0,280.0,225.55,279.9,258.6,257.12,90,"23,141.20",-,41,45.56
TATAMTRDVR,EQ,12-11-2008,258.6,220.0,279.0,220.0,279.0,278.4,257.24,73,"18,778.25",-,16,21.92
TATAMTRDVR,EQ,17-11-2008,278.4,269.0,269.9,226.2,226.2,226.2,242.73,26,"6,311.00",-,26,100.00
TATAMTRDVR,EQ,18-11-2008,226.2,190.4,200.1,183.25,183.25,183.25,194.78,73,"14,218.90",-,63,86.30
TATAMTRDVR,EQ,19-11-2008,183.25,162.2,169.0,160.0,160.0,162.4,162.3,32,"5,193.70",-,16,50.00
TATAMTRDVR,EQ,20-11-2008,162.4,130.1,184.0,130.1,144.0,147.6,153.24,46,"7,048.90",-,15,32.61
TATAMTRDVR,EQ,21-11-2008,147.6,154.0,160.0,154.0,160.0,157.55,157.55,36,"5,671.80",-,36,100.00
TATAMTRDVR,EQ,26-11-2008,157.55,160.0,164.0,142.0,164.0,164.0,150.04,46,"6,902.00",-,36,78.26
TATAMTRDVR,EQ,28-11-2008,164.0,150.0,150.0,150.0,150.0,150.0,150.0,1,150.00,-,1,100.00
TATAMTRDVR,EQ,01-12-2008,150.0,164.0,164.0,164.0,164.0,164.0,164.0,4,656.00,-,4,100.00
TATAMTRDVR,EQ,02-12-2008,164.0,164.0,164.0,164.0,164.0,164.0,164.0,1,164.00,-,1,100.00
TATAMTRDVR,EQ,04-12-2008,164.0,180.0,180.0,148.0,148.0,148.0,150.91,11,"1,660.00",-,10,90.91
TATAMTRDVR,EQ,12-12-2008,148.0,141.0,162.75,141.0,162.75,162.75,151.88,4,607.50,-,-,-
TATAMTRDVR,EQ,16-12-2008,162.75,170.0,170.0,147.5,147.5,147.5,158.75,20,"3,175.00",-,20,100.00
TATAMTRDVR,EQ,17-12-2008,147.5,133.1,140.5,133.1,140.5,140.5,136.8,16,"2,188.80",-,8,50.00
TATAMTRDVR,EQ,18-12-2008,140.5,140.5,140.5,140.5,140.5,140.5,140.5,1,140.50,-,1,100.00
TATAMTRDVR,EQ,22-12-2008,140.5,130.0,154.55,130.0,154.55,154.55,133.07,8,"1,064.55",-,7,87.50
TATAMTRDVR,EQ,26-12-2008,154.55,148.05,148.05,148.05,148.05,148.05,148.05,3,444.15,-,3,100.00
TATAMTRDVR,EQ,31-12-2008,148.05,134.35,134.35,134.35,134.35,134.35,134.35,2,268.70,-,2,100.00
TATAMTRDVR,EQ,06-01-2009,134.35,133.85,133.85,133.85,133.85,133.85,133.85,1,133.85,-,1,100.00
