SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
TATAYODOGA,EQ,1996-10-01,36.0,33.0,33.0,32.5,-,32.75,32.79,300,"9,837.50",-,-,-
TATAYODOGA,EQ,1996-10-03,32.75,31.5,31.5,31.5,-,31.5,31.5,100,"3,150.00",-,-,-
TATAYODOGA,EQ,1996-10-04,31.5,30.5,30.65,30.5,-,30.65,30.58,200,"6,115.00",-,-,-
TATAYODOGA,EQ,1996-10-07,30.65,30.5,30.5,29.5,-,29.5,30.21,350,"10,575.00",-,-,-
TATAYODOGA,EQ,1996-10-08,29.5,29.5,29.55,29.4,-,29.55,29.51,850,"25,080.00",-,-,-
TATAYODOGA,EQ,1996-10-09,29.55,29.75,29.75,29.75,-,29.75,29.75,50,"1,487.50",-,-,-
TATAYODOGA,EQ,1996-10-11,29.75,31.5,31.5,30.0,-,30.0,30.75,200,"6,150.00",-,-,-
TATAYODOGA,EQ,1996-10-14,30.0,32.0,33.0,32.0,-,33.0,32.67,300,"9,800.00",-,-,-
TATAYODOGA,EQ,1996-10-15,33.0,32.1,34.5,32.1,-,34.4,33.46,500,"16,730.00",-,-,-
TATAYODOGA,EQ,1996-10-16,34.4,33.0,33.0,33.0,-,33.0,33.0,300,"9,900.00",-,-,-
TATAYODOGA,EQ,1996-10-17,33.0,32.2,32.2,32.0,-,32.1,32.07,"1,100","35,275.00",-,-,-
TATAYODOGA,EQ,1996-10-18,32.1,32.5,32.5,32.05,-,32.05,32.17,900,"28,955.00",-,-,-
TATAYODOGA,EQ,1996-10-22,32.05,32.0,32.2,32.0,-,32.2,32.07,300,"9,620.00",-,-,-
TATAYODOGA,EQ,1996-10-23,32.2,33.25,34.0,33.25,-,34.0,33.55,250,"8,387.50",-,-,-
TATAYODOGA,EQ,1996-10-24,34.0,34.0,34.5,34.0,-,34.05,34.11,"2,200","75,045.00",-,-,-
TATAYODOGA,EQ,1996-10-25,34.05,34.0,34.4,32.7,-,34.4,33.42,300,"10,025.00",-,-,-
TATAYODOGA,EQ,1996-10-28,34.4,33.5,33.5,33.5,-,33.5,33.5,200,"6,700.00",-,-,-
TATAYODOGA,EQ,1996-10-29,33.5,34.0,34.0,32.0,-,32.0,33.37,"1,050","35,037.50",-,-,-
