SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
TRANSWIND,SM,2017-07-12,27.0,30.85,32.4,30.85,32.4,32.4,32.39,"4,20,000","1,36,01,800.00",77,"4,20,000",100.0
TRANSWIND,SM,2017-07-13,32.4,38.85,38.85,36.0,38.85,38.85,38.46,"10,52,000","4,04,61,600.00",256,"9,20,000",87.45
TRANSWIND,SM,2017-07-14,38.85,42.0,44.0,35.0,35.85,37.35,40.08,"7,84,000","3,14,19,600.00",195,"5,48,000",69.9
TRANSWIND,SM,2017-07-17,37.35,35.65,36.9,34.0,34.4,35.05,34.95,"1,56,000","54,51,800.00",39,"1,16,000",74.36
TRANSWIND,SM,2017-07-18,35.05,35.3,37.1,34.75,35.75,36.1,35.96,"76,000","27,32,600.00",18,"56,000",73.68
TRANSWIND,SM,2017-07-19,36.1,37.0,37.05,35.25,35.25,35.75,36.31,"28,000","10,16,600.00",7,"24,000",85.71
TRANSWIND,SM,2017-07-20,35.75,37.95,38.0,36.1,36.7,36.7,36.81,"40,000","14,72,200.00",10,"28,000",70.0
TRANSWIND,SM,2017-07-21,36.7,36.2,36.2,36.0,36.0,36.0,36.1,"8,000","2,88,800.00",2,"8,000",100.0
TRANSWIND,SM,2017-07-24,36.0,36.65,38.7,36.65,38.65,38.65,37.8,"44,000","16,63,000.00",11,"36,000",81.82
TRANSWIND,SM,2017-07-25,38.65,38.0,38.0,37.55,37.95,37.95,37.83,"12,000","4,54,000.00",3,"8,000",66.67
TRANSWIND,SM,2017-07-26,37.95,37.45,37.45,37.45,37.45,37.45,37.45,"4,000","1,49,800.00",1,"4,000",100.0
TRANSWIND,SM,2017-07-27,37.45,39.5,39.5,37.0,37.0,37.0,38.09,"40,000","15,23,400.00",10,"32,000",80.0
TRANSWIND,SM,2017-07-28,37.0,38.0,38.0,36.5,36.5,36.6,37.31,"36,000","13,43,200.00",7,"32,000",88.89
TRANSWIND,SM,2017-07-31,36.6,36.5,37.8,36.0,36.9,36.9,36.59,"36,000","13,17,400.00",9,"28,000",77.78
TRANSWIND,SM,2017-08-01,36.9,36.0,36.0,36.0,36.0,36.0,36.0,"8,000","2,88,000.00",2,"8,000",100.0
TRANSWIND,SM,2017-08-02,36.0,35.5,36.95,35.5,36.7,36.7,36.6,"24,000","8,78,400.00",6,"20,000",83.33
TRANSWIND,SM,2017-08-03,36.7,36.15,36.25,35.9,36.25,36.05,36.07,"20,000","7,21,400.00",5,"20,000",100.0
