SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
UEL,BE,2024-04-16,2.25,25.85,27.1,25.85,27.1,27.1,27.09,"2,438","66,038.55",104,-,-
UEL,BE,2024-04-18,27.1,28.45,28.45,28.45,28.45,28.45,28.45,"1,964","55,875.80",189,-,-
UEL,BE,2024-04-19,28.45,29.85,29.85,29.85,29.85,29.85,29.85,618,"18,447.30",105,-,-
UEL,BE,2024-04-22,29.85,31.3,31.3,31.3,31.3,31.3,31.3,404,"12,645.20",103,-,-
UEL,BE,2024-04-23,31.3,32.85,32.85,32.85,32.85,32.85,32.85,263,"8,639.55",51,-,-
UEL,BE,2024-04-24,32.85,34.45,34.45,34.45,34.45,34.45,34.45,314,"10,817.30",63,-,-
UEL,BE,2024-04-25,34.45,36.15,36.15,36.15,36.15,36.15,36.15,172,"6,217.80",41,-,-
UEL,BE,2024-04-29,36.15,37.95,37.95,37.95,37.95,37.95,37.95,433,"16,432.35",117,-,-
UEL,BE,2024-05-06,37.95,39.8,39.8,39.8,39.8,39.8,39.8,415,"16,517.00",93,-,-
UEL,BE,2024-05-13,39.8,41.75,41.75,41.75,41.75,41.75,41.75,"30,224","12,61,852.00",76,-,-
UEL,BE,2024-05-21,41.75,43.8,43.8,43.8,43.8,43.8,43.8,527,"23,082.60",115,-,-
UEL,BE,2024-05-27,43.8,153.3,160.95,153.3,160.95,160.95,159.42,828,"1,31,996.70",185,-,-
UEL,BE,2024-06-03,160.95,168.95,168.95,168.95,168.95,168.95,168.95,947,"1,59,995.65",212,-,-
UEL,BE,2024-06-04,168.95,177.35,177.35,177.35,177.35,177.35,177.35,465,"82,467.75",118,-,-
UEL,BE,2024-06-05,177.35,186.2,186.2,186.2,186.2,186.2,186.2,280,"52,136.00",93,-,-
UEL,BE,2024-06-06,186.2,195.5,195.5,195.5,195.5,195.5,195.5,322,"62,951.00",80,-,-
UEL,BE,2024-06-07,195.5,205.25,205.25,205.25,205.25,205.25,205.25,"1,076","2,20,849.00",108,-,-
UEL,BE,2024-06-10,205.25,215.51,215.51,215.51,215.51,215.51,215.51,454,"97,841.54",94,-,-
UEL,BE,2024-06-11,215.51,226.28,226.28,226.28,226.28,226.28,226.28,249,"56,343.72",81,-,-
UEL,BE,2024-06-18,226.28,237.59,237.59,237.59,237.59,237.59,237.59,425,"1,00,975.75",121,-,-
UEL,BE,2024-06-24,237.59,249.46,249.46,249.46,249.46,249.46,249.46,587,"1,46,433.02",117,-,-
UEL,BE,2024-07-01,249.46,261.93,261.93,261.93,261.93,261.93,261.93,289,"75,697.77",95,-,-
UEL,BE,2024-07-08,261.93,275.02,275.02,275.02,275.02,275.02,275.02,423,"1,16,333.46",142,-,-
UEL,BE,2024-07-15,275.02,288.77,288.77,288.77,288.77,288.77,288.77,"1,059","3,05,807.43",98,-,-
UEL,BE,2024-07-22,288.77,303.2,303.2,303.2,303.2,303.2,303.2,419,"1,27,040.80",103,-,-
UEL,BE,2024-07-29,303.2,318.36,318.36,318.36,318.36,318.36,318.36,499,"1,58,861.64",110,-,-
UEL,BE,2024-08-01,318.4,334.3,334.3,334.3,334.3,334.3,334.3,403,"1,34,722.90",80,-,-
