SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
UNITEDBREW,EQ,1996-01-02,31.50,30.0,31.25,28.75,-,31.25,29.67,"2,100","62,310.00",-,-,-
UNITEDBREW,EQ,1996-01-03,31.25,30.0,30.5,29.0,-,30.5,29.86,"1,100","32,850.00",-,-,-
UNITEDBREW,EQ,1996-01-04,30.50,30.05,33.0,28.3,-,33.0,30.98,"8,100","2,50,975.00",-,-,-
UNITEDBREW,EQ,1996-01-05,33.00,33.0,36.5,32.55,-,36.2,34.28,"6,900","2,36,500.00",-,-,-
UNITEDBREW,EQ,1996-01-08,36.20,36.2,38.0,33.55,-,37.0,36.86,"4,400","1,62,195.00",-,-,-
UNITEDBREW,EQ,1996-01-09,37.00,35.0,39.1,35.0,-,39.1,37.91,"14,800","5,61,020.00",-,-,-
UNITEDBREW,EQ,1996-01-10,39.10,39.1,43.05,43.0,-,43.05,43.05,"6,900","2,97,040.00",-,-,-
UNITEDBREW,EQ,1996-01-11,43.05,43.05,45.2,41.75,-,42.05,43.1,"19,500","8,40,470.00",-,-,-
UNITEDBREW,EQ,1996-01-12,42.05,42.05,42.0,38.1,-,40.95,40.4,"27,500","11,10,930.00",-,-,-
UNITEDBREW,EQ,1996-01-15,40.95,40.95,41.45,39.5,-,39.55,40.32,"4,100","1,65,325.00",-,-,-
UNITEDBREW,EQ,1996-01-16,39.55,39.55,40.5,39.0,-,39.7,39.8,"13,400","5,33,280.00",-,-,-
UNITEDBREW,EQ,1996-01-17,39.70,39.5,40.0,38.0,-,39.7,39.34,"20,200","7,94,615.00",-,-,-
UNITEDBREW,EQ,1996-01-18,39.70,39.7,38.5,37.5,-,38.25,38.02,"11,700","4,44,840.00",-,-,-
UNITEDBREW,EQ,1996-01-19,38.25,38.25,38.5,34.6,-,38.25,37.59,"14,000","5,26,225.00",-,-,-
