SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
VASA,SM,2018-02-06,30.0,36.0,36.0,36.0,36.0,36.0,36.0,"1,76,000","63,36,000.00",40,"1,76,000",100.0
VASA,SM,2018-02-07,36.0,43.2,43.2,43.2,43.2,43.2,43.2,"1,88,000","81,21,600.00",44,"1,88,000",100.0
VASA,SM,2018-02-08,43.2,51.8,51.8,44.0,51.8,51.8,51.42,"6,00,000","3,08,49,400.00",133,"5,92,000",98.67
VASA,SM,2018-02-09,51.8,56.9,56.95,50.0,56.95,56.95,55.84,"3,72,000","2,07,72,600.00",87,"2,92,000",78.49
VASA,SM,2018-02-12,56.95,62.0,62.6,62.0,62.6,62.6,62.56,"56,000","35,03,200.00",12,"56,000",100.0
VASA,SM,2018-02-14,62.6,68.85,68.85,68.85,68.85,68.85,68.85,"16,000","11,01,600.00",3,"16,000",100.0
VASA,SM,2018-02-15,68.85,72.25,72.25,72.25,72.25,72.25,72.25,"40,000","28,90,000.00",10,"40,000",100.0
VASA,SM,2018-02-16,72.25,75.85,75.85,75.85,75.85,75.85,75.85,"36,000","27,30,600.00",9,"36,000",100.0
VASA,SM,2018-02-19,75.85,79.6,79.6,72.1,72.1,72.1,75.03,"3,56,000","2,67,11,200.00",87,"2,28,000",64.04
VASA,SM,2018-02-20,72.1,69.1,73.0,68.5,68.5,68.5,69.77,"92,000","64,18,800.00",23,"72,000",78.26
VASA,SM,2018-02-21,68.5,66.0,68.0,65.1,68.0,67.55,65.77,"1,16,000","76,29,400.00",28,"88,000",75.86
VASA,SM,2018-02-22,67.55,68.95,68.95,64.65,64.65,64.8,66.02,"52,000","34,33,200.00",11,"32,000",61.54
VASA,SM,2018-02-23,64.8,66.95,68.0,64.0,68.0,67.95,67.58,"56,000","37,84,400.00",14,"40,000",71.43
VASA,SM,2018-02-26,67.95,71.0,71.3,69.35,71.3,71.3,71.11,"52,000","36,97,800.00",13,"40,000",76.92
VASA,SM,2018-02-27,71.3,72.7,72.7,67.75,67.8,67.8,68.64,"68,000","46,67,600.00",17,"44,000",64.71
VASA,SM,2018-02-28,67.8,65.0,67.85,64.5,67.85,67.85,65.81,"36,000","23,69,000.00",9,"24,000",66.67
VASA,SM,2018-03-01,67.85,65.6,67.6,65.6,67.6,67.6,66.6,"8,000","5,32,800.00",2,"4,000",50.0
VASA,SM,2018-03-05,67.6,65.1,66.05,65.1,66.0,66.0,65.83,"20,000","13,16,600.00",4,"16,000",80.0
VASA,SM,2018-03-06,66.0,63.75,66.95,62.7,62.7,63.45,64.36,"32,000","20,59,400.00",8,"24,000",75.0
VASA,SM,2018-03-07,63.45,60.4,63.5,60.4,60.5,60.65,61.28,"32,000","19,61,000.00",8,"24,000",75.0
VASA,SM,2018-03-08,60.65,59.0,62.6,59.0,62.4,61.3,60.9,"28,000","17,05,200.00",7,"16,000",57.14
VASA,SM,2018-03-09,61.3,63.0,63.0,61.0,61.0,61.0,62.33,"12,000","7,48,000.00",3,"12,000",100.0
VASA,SM,2018-03-12,61.0,62.5,62.5,57.95,61.0,60.3,59.51,"40,000","23,80,400.00",10,"16,000",40.0
VASA,SM,2018-03-13,60.3,59.6,59.6,58.7,58.7,58.7,59.03,"24,000","14,16,800.00",6,"20,000",83.33
VASA,SM,2018-03-14,58.7,56.55,60.0,56.55,60.0,59.35,58.14,"40,000","23,25,600.00",10,"24,000",60.0
VASA,SM,2018-03-16,59.35,60.8,60.8,60.0,60.0,60.0,60.4,"8,000","4,83,200.00",2,"8,000",100.0
VASA,SM,2018-03-19,60.0,58.0,58.0,58.0,58.0,58.0,58.0,"4,000","2,32,000.00",1,"4,000",100.0
VASA,SM,2018-03-21,58.0,58.5,58.5,58.5,58.5,58.5,58.5,"4,000","2,34,000.00",1,"4,000",100.0
VASA,SM,2018-03-22,58.5,55.8,58.0,55.8,58.0,58.0,56.9,"8,000","4,55,200.00",2,"4,000",50.0
VASA,SM,2018-03-23,58.0,55.25,55.8,55.1,55.1,55.1,55.28,"24,000","13,26,600.00",6,"20,000",83.33
VASA,SM,2018-03-26,55.1,52.9,57.75,52.55,57.75,57.75,55.63,"48,000","26,70,000.00",12,"40,000",83.33
VASA,SM,2018-03-27,57.75,60.5,60.6,58.4,58.4,58.7,60.15,"36,000","21,65,400.00",9,"16,000",44.44
VASA,SM,2018-03-28,58.7,60.2,60.2,60.2,60.2,60.2,60.2,"4,000","2,40,800.00",1,"4,000",100.0
VASA,SM,2018-04-02,60.2,61.0,62.05,61.0,62.05,62.05,61.53,"8,000","4,92,200.00",2,"8,000",100.0
VASA,SM,2018-04-03,62.05,58.95,58.95,58.95,58.95,58.95,58.95,"4,000","2,35,800.00",1,"4,000",100.0
VASA,SM,2018-04-04,58.95,58.0,58.0,58.0,58.0,58.0,58.0,"4,000","2,32,000.00",1,"4,000",100.0
VASA,SM,2018-04-06,58.0,57.0,57.0,57.0,57.0,57.0,57.0,"4,000","2,28,000.00",1,"4,000",100.0
VASA,SM,2018-04-09,57.0,54.75,57.4,54.4,55.5,54.8,55.31,"20,000","11,06,200.00",5,"12,000",60.0
VASA,SM,2018-04-10,54.8,56.5,56.5,56.5,56.5,56.5,56.5,"4,000","2,26,000.00",1,"4,000",100.0
VASA,SM,2018-04-11,56.5,57.0,57.0,56.0,56.0,56.0,56.5,"8,000","4,52,000.00",2,"8,000",100.0
VASA,SM,2018-04-13,56.0,57.0,57.25,57.0,57.25,57.25,57.13,"8,000","4,57,000.00",2,"8,000",100.0
VASA,SM,2018-04-16,57.25,57.25,57.25,57.25,57.25,57.25,57.25,"4,000","2,29,000.00",1,"4,000",100.0
VASA,SM,2018-04-18,57.25,55.0,55.0,55.0,55.0,55.0,55.0,"4,000","2,20,000.00",1,"4,000",100.0
VASA,SM,2018-04-19,55.0,52.5,54.0,52.5,54.0,54.0,53.25,"8,000","4,26,000.00",2,"4,000",50.0
VASA,SM,2018-04-24,54.0,48.6,55.0,48.6,55.0,55.0,52.87,"12,000","6,34,400.00",3,"8,000",66.67
VASA,SM,2018-04-25,55.0,55.55,55.55,55.55,55.55,55.55,55.55,"4,000","2,22,200.00",1,"4,000",100.0
VASA,SM,2018-04-26,55.55,56.0,56.0,53.0,53.0,53.0,54.05,"12,000","6,48,600.00",3,"8,000",66.67
VASA,SM,2018-04-27,53.0,54.0,54.0,54.0,54.0,54.0,54.0,"12,000","6,48,000.00",3,"12,000",100.0
VASA,SM,2018-04-30,54.0,54.0,54.0,54.0,54.0,54.0,54.0,"4,000","2,16,000.00",1,"4,000",100.0
VASA,SM,2018-05-03,54.0,52.5,54.0,52.5,54.0,54.0,53.5,"12,000","6,42,000.00",3,"12,000",100.0
VASA,SM,2018-05-04,54.0,51.5,51.5,51.5,51.5,51.5,51.5,"4,000","2,06,000.00",1,"4,000",100.0
VASA,SM,2018-05-07,51.5,51.25,51.25,51.0,51.0,51.0,51.13,"8,000","4,09,000.00",2,"8,000",100.0
VASA,SM,2018-05-08,51.0,48.0,49.5,48.0,48.15,48.15,48.55,"12,000","5,82,600.00",3,"12,000",100.0
VASA,SM,2018-05-14,48.15,49.5,49.5,49.5,49.5,49.5,49.5,"16,000","7,92,000.00",4,"16,000",100.0
VASA,SM,2018-05-18,49.5,49.5,49.5,49.5,49.5,49.5,49.5,"4,000","1,98,000.00",1,"4,000",100.0
VASA,SM,2018-05-21,49.5,49.5,49.5,49.5,49.5,49.5,49.5,"4,000","1,98,000.00",1,"4,000",100.0
VASA,SM,2018-05-23,49.5,49.5,49.5,49.5,49.5,49.5,49.5,"4,000","1,98,000.00",1,"4,000",100.0
VASA,SM,2018-05-24,49.5,46.0,48.0,46.0,47.0,47.0,47.0,"12,000","5,64,000.00",3,"8,000",66.67
VASA,SM,2018-05-25,47.0,50.5,50.8,47.6,47.6,47.6,48.75,"28,000","13,65,000.00",7,"20,000",71.43
VASA,SM,2018-05-28,47.6,47.5,47.5,47.5,47.5,47.5,47.5,"8,000","3,80,000.00",2,"8,000",100.0
VASA,SM,2018-05-29,47.5,44.55,46.5,43.0,46.5,46.5,44.82,"32,000","14,34,200.00",8,"12,000",37.5
VASA,SM,2018-05-30,46.5,46.5,47.0,46.5,47.0,47.0,46.75,"8,000","3,74,000.00",2,"8,000",100.0
VASA,SM,2018-05-31,47.0,47.0,51.4,47.0,47.2,49.3,48.9,"24,000","11,73,600.00",6,"24,000",100.0
VASA,SM,2018-06-01,49.3,46.05,46.05,44.4,44.4,44.4,44.6,"96,000","42,82,000.00",24,"48,000",50.0
VASA,SM,2018-06-04,44.4,44.0,44.0,44.0,44.0,44.0,44.0,"4,000","1,76,000.00",1,"4,000",100.0
VASA,SM,2018-06-05,44.0,45.8,45.8,45.8,45.8,45.8,45.8,"4,000","1,83,200.00",1,"4,000",100.0
VASA,SM,2018-06-07,45.8,43.55,43.55,43.55,43.55,43.55,43.55,"4,000","1,74,200.00",1,"4,000",100.0
VASA,SM,2018-06-11,43.55,45.0,45.0,45.0,45.0,45.0,45.0,"8,000","3,60,000.00",2,"8,000",100.0
VASA,SM,2018-06-12,45.0,45.1,45.1,42.75,42.75,42.75,43.34,"16,000","6,93,400.00",4,"12,000",75.0
VASA,SM,2018-06-13,42.75,42.7,42.75,42.7,42.75,42.75,42.73,"8,000","3,41,800.00",2,"8,000",100.0
VASA,SM,2018-06-14,42.75,41.15,43.7,41.1,41.2,41.2,41.79,"16,000","6,68,600.00",4,"12,000",75.0
VASA,SM,2018-06-18,41.2,39.15,42.4,39.15,42.4,42.4,41.18,"12,000","4,94,200.00",3,"8,000",66.67
VASA,SM,2018-06-20,42.4,40.3,40.3,40.3,40.3,40.3,40.3,"4,000","1,61,200.00",1,"4,000",100.0
VASA,SM,2018-06-22,40.3,40.3,42.3,40.3,42.3,42.3,41.2,"12,000","4,94,400.00",3,"12,000",100.0
VASA,SM,2018-06-25,42.3,42.75,42.75,42.75,42.75,42.75,42.75,"12,000","5,13,000.00",2,"12,000",100.0
VASA,SM,2018-06-27,42.75,41.0,41.0,40.65,40.65,40.65,40.72,"20,000","8,14,400.00",5,"12,000",60.0
VASA,SM,2018-06-29,40.65,41.0,41.0,41.0,41.0,41.0,41.0,"8,000","3,28,000.00",2,"8,000",100.0
VASA,SM,2018-07-03,41.0,41.5,41.5,41.5,41.5,41.5,41.5,"4,000","1,66,000.00",1,"4,000",100.0
VASA,SM,2018-07-11,41.5,39.45,39.45,39.45,39.45,39.45,39.45,"4,000","1,57,800.00",1,"4,000",100.0
VASA,SM,2018-07-12,39.45,39.4,39.4,39.4,39.4,39.4,39.4,"4,000","1,57,600.00",1,"4,000",100.0
VASA,SM,2018-07-17,39.4,37.45,37.45,37.45,37.45,37.45,37.45,"4,000","1,49,800.00",1,"4,000",100.0
VASA,SM,2018-07-19,37.45,35.6,35.6,35.6,35.6,35.6,35.6,"12,000","4,27,200.00",3,"8,000",66.67
