SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
VINTAGE,EQ,1999-12-08,225.0,312.15,312.15,312.15,312.15,312.15,312.15,"38,200","1,19,24,130.00",-,-,-
VINTAGE,EQ,1999-12-09,312.15,337.1,337.15,326.55,337.15,337.15,336.06,"92,850","3,12,02,950.00",-,-,-
VINTAGE,EQ,1999-12-10,337.15,364.15,364.15,357.0,364.15,364.15,363.8,"39,600","1,44,06,452.50",-,-,-
VINTAGE,EQ,1999-12-13,364.15,393.3,393.3,335.05,335.05,335.2,357.72,"1,34,950","4,82,74,515.00",-,-,-
VINTAGE,EQ,1999-12-14,335.2,336.0,354.75,325.0,342.9,339.05,337.0,"1,18,350","3,98,83,892.50",-,-,-
VINTAGE,EQ,1999-12-15,339.05,342.0,366.2,335.0,351.0,352.4,351.76,"85,200","2,99,69,530.00",-,-,-
VINTAGE,EQ,1999-12-16,352.4,359.0,365.0,352.0,354.0,356.6,359.9,"32,900","1,18,40,555.00",-,-,-
VINTAGE,EQ,1999-12-17,356.6,356.0,365.05,335.0,340.95,339.5,350.91,"20,450","71,76,085.00",-,-,-
VINTAGE,EQ,1999-12-20,339.5,336.0,344.9,315.0,315.05,316.75,324.26,"22,050","71,50,035.00",-,-,-
VINTAGE,EQ,1999-12-21,316.75,315.0,315.0,298.0,309.45,304.95,307.31,"36,450","1,12,01,587.50",-,-,-
VINTAGE,EQ,1999-12-22,304.95,318.0,329.35,318.0,329.35,329.35,327.23,"33,650","1,10,11,370.00",-,-,-
VINTAGE,EQ,1999-12-23,329.35,322.0,332.0,320.0,328.0,323.35,324.62,"8,250","26,78,100.00",-,-,-
VINTAGE,EQ,1999-12-24,323.35,324.0,324.0,302.0,302.2,305.55,309.82,"12,250","37,95,332.50",-,-,-
VINTAGE,BE,1999-12-27,225.0,285.1,285.1,285.1,285.1,285.1,285.1,50,"14,255.00",-,-,-
VINTAGE,EQ,1999-12-27,305.55,300.0,300.0,285.0,287.0,287.7,287.38,"11,350","32,61,767.50",-,-,-
VINTAGE,EQ,1999-12-28,287.7,275.25,299.0,275.25,290.0,294.2,294.52,"16,450","48,44,777.50",-,-,-
VINTAGE,EQ,1999-12-29,294.2,299.0,299.75,287.5,296.0,293.45,291.8,"7,650","22,32,255.00",-,-,-
VINTAGE,EQ,1999-12-30,293.45,282.0,292.9,275.4,287.95,285.8,286.11,"10,400","29,75,587.50",-,-,-
VINTAGE,EQ,2000-01-03,285.8,305.0,308.7,298.05,308.7,308.7,306.05,"12,350","37,79,752.50",-,-,-
VINTAGE,EQ,2000-01-04,308.7,331.0,331.0,290.3,297.9,293.6,299.69,"25,400","76,12,175.00",-,-,-
VINTAGE,EQ,2000-01-05,293.6,290.0,317.05,286.0,307.5,303.3,302.12,"1,77,150","5,35,20,950.00",-,-,-
VINTAGE,EQ,2000-01-06,303.3,306.0,312.8,300.0,302.0,300.9,305.66,"17,350","53,03,277.50",-,-,-
VINTAGE,EQ,2000-01-07,300.9,292.0,305.0,292.0,303.0,302.2,300.86,"17,800","53,55,320.00",-,-,-
VINTAGE,EQ,2000-01-10,302.2,300.0,304.85,297.1,303.5,301.5,301.08,"21,200","63,82,850.00",-,-,-
VINTAGE,EQ,2000-01-11,301.5,297.5,303.0,284.5,290.0,291.15,293.02,"49,350","1,44,60,450.00",-,-,-
VINTAGE,EQ,2000-01-12,291.15,298.0,299.9,293.0,294.0,295.45,295.8,"25,350","74,98,492.50",-,-,-
VINTAGE,EQ,2000-01-13,295.45,297.9,317.95,295.25,313.0,309.85,308.4,"34,500","1,06,39,782.50",-,-,-
VINTAGE,EQ,2000-01-14,309.85,310.0,310.0,300.1,300.3,303.35,303.24,"14,650","44,42,422.50",-,-,-
VINTAGE,EQ,2000-01-17,303.35,314.9,314.9,300.0,302.0,302.45,303.95,"34,800","1,05,77,480.00",-,-,-
VINTAGE,EQ,2000-01-18,302.45,302.0,302.0,288.4,293.0,293.4,295.78,"60,500","1,78,94,850.00",-,-,-
VINTAGE,EQ,2000-01-19,293.4,300.0,305.0,298.25,304.45,301.7,302.22,"28,400","85,83,130.00",-,-,-
VINTAGE,EQ,2000-01-20,301.7,304.45,304.5,295.1,296.0,296.3,298.18,"25,000","74,54,502.50",-,-,-
VINTAGE,BE,2000-01-21,285.1,300.0,300.0,300.0,300.0,300.0,300.0,100,"30,000.00",-,-,-
VINTAGE,EQ,2000-01-21,296.3,295.0,297.0,292.0,295.0,292.35,294.55,"7,400","21,79,635.00",-,-,-
VINTAGE,BE,2000-01-24,300.0,295.0,300.0,295.0,300.0,300.0,296.0,125,"37,000.00",-,-,-
VINTAGE,EQ,2000-01-24,292.35,291.0,295.0,287.0,289.0,289.0,289.32,"12,100","35,00,822.50",-,-,-
VINTAGE,EQ,2000-01-25,289.0,289.5,289.5,265.9,266.0,276.2,277.82,"48,500","1,34,74,035.00",-,-,-
VINTAGE,EQ,2000-01-27,276.2,272.0,274.0,255.0,269.0,266.75,263.65,"11,600","30,58,350.00",-,-,-
VINTAGE,EQ,2000-01-28,266.75,274.95,274.95,257.05,261.5,260.45,261.16,"6,550","17,10,597.50",-,-,-
VINTAGE,EQ,2000-01-31,260.45,267.9,267.9,240.0,240.0,240.0,247.82,"4,850","12,01,930.00",-,-,-
VINTAGE,BE,2000-01-31,300.0,250.0,250.0,250.0,250.0,250.0,250.0,50,"12,500.00",-,-,-
VINTAGE,BE,2000-02-01,250.0,250.0,250.0,250.0,250.0,250.0,250.0,5,"1,250.00",-,-,-
VINTAGE,EQ,2000-02-01,240.0,235.55,237.0,225.0,231.0,232.05,232.27,"8,150","18,93,015.00",-,-,-
VINTAGE,EQ,2000-02-02,232.05,233.0,250.65,231.0,250.65,250.65,247.37,"4,750","11,75,025.00",-,-,-
VINTAGE,EQ,2000-02-03,250.65,269.9,270.7,260.0,270.7,270.1,267.85,"10,050","26,91,875.00",-,-,-
VINTAGE,EQ,2000-02-04,270.1,281.0,281.0,255.25,255.25,263.0,269.23,"8,450","22,75,010.00",-,-,-
VINTAGE,EQ,2000-02-07,263.0,252.05,259.0,242.0,242.0,242.3,248.72,"6,450","16,04,252.50",-,-,-
VINTAGE,EQ,2000-02-08,242.3,238.0,248.6,237.0,241.0,242.5,241.04,"11,600","27,96,055.00",-,-,-
VINTAGE,EQ,2000-02-09,242.5,248.0,255.0,243.0,243.0,245.05,249.68,"10,900","27,21,490.00",-,-,-
VINTAGE,EQ,2000-02-10,245.05,240.0,245.0,240.0,240.0,241.1,241.27,"6,700","16,16,490.00",-,-,-
VINTAGE,EQ,2000-02-11,241.1,245.0,245.0,238.0,238.0,239.8,240.23,"7,950","19,09,845.00",-,-,-
VINTAGE,BE,2000-02-14,250.0,235.0,235.0,230.0,230.0,230.0,231.0,150,"34,650.00",-,-,-
VINTAGE,EQ,2000-02-14,239.8,240.0,240.0,221.0,221.0,221.0,228.03,"12,000","27,36,370.00",-,-,-
VINTAGE,EQ,2000-02-15,221.0,212.0,232.95,212.0,225.65,227.3,224.5,"17,050","38,27,772.50",-,-,-
VINTAGE,EQ,2000-02-16,227.3,243.9,243.9,239.0,243.9,243.9,243.79,"4,450","10,84,865.00",-,-,-
VINTAGE,EQ,2000-02-17,243.9,255.0,263.45,250.0,263.45,263.45,260.4,"20,850","54,29,307.50",-,-,-
VINTAGE,EQ,2000-02-18,263.45,283.0,283.0,253.05,265.0,265.55,267.71,"20,800","55,68,362.50",-,-,-
VINTAGE,EQ,2000-02-21,265.55,264.0,265.0,250.0,251.0,252.15,257.13,"10,150","26,09,907.50",-,-,-
VINTAGE,EQ,2000-02-22,252.15,252.0,252.0,240.0,246.0,244.75,244.94,"9,500","23,26,940.00",-,-,-
VINTAGE,BE,2000-02-23,230.0,240.0,240.0,240.0,240.0,240.0,240.0,10,"2,400.00",-,-,-
VINTAGE,EQ,2000-02-23,244.75,260.0,263.0,240.0,240.0,240.0,243.02,"3,350","8,14,120.00",-,-,-
VINTAGE,EQ,2000-02-24,240.0,240.0,245.0,227.05,239.9,238.9,238.44,"2,450","5,84,172.50",-,-,-
VINTAGE,EQ,2000-02-25,238.9,235.0,235.0,228.0,231.0,232.55,231.37,"2,200","5,09,007.50",-,-,-
VINTAGE,EQ,2000-02-28,232.55,231.5,237.0,227.3,237.0,234.35,231.16,"2,700","6,24,137.50",-,-,-
VINTAGE,EQ,2000-02-29,234.35,235.0,239.0,228.0,229.0,229.7,230.31,"13,100","30,17,050.00",-,-,-
VINTAGE,EQ,2000-03-01,229.7,222.0,235.0,221.0,223.0,225.15,227.94,"16,450","37,49,677.50",-,-,-
VINTAGE,EQ,2000-03-02,225.15,228.1,233.9,208.0,208.0,212.4,216.51,"17,150","37,13,212.50",-,-,-
VINTAGE,EQ,2000-03-03,212.4,210.0,229.1,198.0,215.0,213.9,213.12,"9,200","19,60,685.00",-,-,-
VINTAGE,EQ,2000-03-06,213.9,210.1,214.0,204.1,204.2,204.9,207.75,"8,850","18,38,570.00",-,-,-
VINTAGE,EQ,2000-03-07,204.9,200.15,205.0,188.55,205.0,200.9,192.64,"18,500","35,63,930.00",-,-,-
VINTAGE,EQ,2000-03-08,200.9,193.1,200.0,184.9,184.9,184.9,188.99,"3,850","7,27,622.50",-,-,-
VINTAGE,EQ,2000-03-09,184.9,179.0,179.0,170.15,170.15,170.15,171.1,"2,350","4,02,095.00",-,-,-
VINTAGE,EQ,2000-03-10,170.15,156.7,158.0,156.55,156.55,156.55,156.75,"3,150","4,93,770.00",-,-,-
VINTAGE,EQ,2000-03-13,156.55,150.0,168.0,144.45,144.45,144.45,150.44,"12,550","18,88,012.50",-,-,-
