SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
VISHWAS,ST,2024-04-01,86.0,85.0,85.7,80.75,85.0,83.6,83.54,"9,24,800","7,72,59,600.00",514,"9,05,600",97.92
VISHWAS,ST,2024-04-02,83.6,84.5,84.5,80.15,80.7,80.55,81.26,"1,84,000","1,49,51,200.00",103,"1,77,600",96.52
VISHWAS,ST,2024-04-03,80.55,80.0,80.0,77.0,78.5,78.55,78.24,"1,37,600","1,07,66,000.00",66,"1,32,800",96.51
VISHWAS,ST,2024-04-04,78.55,77.5,82.45,77.5,80.6,80.5,80.48,"1,66,400","1,33,92,640.00",84,"1,55,200",93.27
VISHWAS,ST,2024-04-05,80.5,81.25,84.5,80.0,84.5,84.5,83.32,"1,16,800","97,31,920.00",65,"1,07,200",91.78
VISHWAS,ST,2024-04-08,84.5,87.0,87.75,84.65,85.6,85.55,86.4,"1,00,800","87,09,200.00",62,"96,000",95.24
VISHWAS,ST,2024-04-09,85.55,86.0,86.5,83.0,83.0,83.45,84.06,"43,200","36,31,600.00",25,"40,000",92.59
VISHWAS,ST,2024-04-10,83.45,82.9,83.8,80.5,83.25,83.4,82.91,"72,000","59,69,840.00",29,"67,200",93.33
VISHWAS,ST,2024-04-12,83.4,82.5,86.0,81.05,86.0,84.9,83.61,"89,600","74,91,360.00",45,"80,000",89.29
VISHWAS,ST,2024-04-15,84.9,85.05,85.5,82.0,85.5,84.3,84.2,"59,200","49,84,480.00",37,"56,000",94.59
VISHWAS,SM,2024-04-16,84.3,85.5,86.8,84.3,85.55,86.0,85.52,"2,40,000","2,05,25,440.00",125,"1,60,000",66.67
VISHWAS,SM,2024-04-18,86.0,86.8,87.95,85.6,86.15,86.65,86.68,"1,79,200","1,55,32,960.00",111,"1,37,600",76.79
VISHWAS,SM,2024-04-19,86.65,85.2,86.0,84.0,84.85,85.3,85.25,"62,400","53,19,680.00",38,"35,200",56.41
VISHWAS,SM,2024-04-22,85.3,86.1,87.5,85.4,87.1,86.85,86.38,"72,000","62,19,440.00",45,"62,400",86.67
VISHWAS,SM,2024-04-23,86.85,86.0,94.05,85.95,93.85,93.75,91.18,"3,45,600","3,15,11,760.00",205,"2,09,600",60.65
VISHWAS,SM,2024-04-24,93.75,94.4,96.7,90.05,91.5,91.0,93.24,"75,200","70,11,280.00",47,"52,800",70.21
VISHWAS,SM,2024-04-25,91.0,91.5,96.4,91.5,94.5,94.5,94.97,"1,15,200","1,09,40,160.00",68,"78,400",68.06
VISHWAS,SM,2024-04-26,94.5,95.85,95.85,92.2,92.2,92.75,93.88,"57,600","54,07,520.00",35,"38,400",66.67
VISHWAS,SM,2024-04-29,92.75,94.65,94.65,91.55,92.75,92.15,93.03,"36,800","34,23,360.00",22,"27,200",73.91
VISHWAS,SM,2024-04-30,92.15,93.0,93.0,88.5,89.5,89.0,90.1,"60,800","54,77,840.00",38,"48,000",78.95
VISHWAS,SM,2024-05-02,89.0,91.0,91.0,86.1,87.0,87.65,87.78,"54,400","47,74,960.00",34,"48,000",88.24
VISHWAS,SM,2024-05-03,87.65,88.65,88.65,86.0,86.0,86.0,86.65,"51,200","44,36,320.00",25,"44,800",87.5
VISHWAS,SM,2024-05-06,86.0,85.5,93.4,84.0,92.75,92.65,90.35,"1,74,400","1,57,57,120.00",95,"1,28,000",73.39
VISHWAS,SM,2024-05-07,92.65,92.6,93.05,88.3,89.0,89.1,90.23,"60,800","54,86,000.00",36,"56,000",92.11
VISHWAS,SM,2024-05-08,89.1,91.35,95.0,88.0,93.1,93.95,93.11,"2,12,800","1,98,13,600.00",129,"1,08,800",51.13
VISHWAS,SM,2024-05-09,93.95,94.95,95.5,89.0,89.0,89.8,92.11,"73,600","67,78,960.00",42,"67,200",91.3
VISHWAS,SM,2024-05-10,89.8,88.5,90.9,87.0,90.9,90.25,89.34,"41,600","37,16,400.00",26,"28,800",69.23
VISHWAS,SM,2024-05-13,90.25,90.9,91.55,89.05,90.3,90.5,90.36,"20,800","18,79,440.00",12,"12,800",61.54
