SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
VITALCOMM,EQ,2001-03-07,57.7,61.0,62.35,61.0,62.35,62.35,62.34,"1,05,540","65,79,678.15",-,-,-
VITALCOMM,EQ,2001-03-08,62.35,67.15,67.35,62.35,62.35,66.75,67.11,"76,899","51,60,613.75",-,-,-
VITALCOMM,EQ,2001-03-09,66.75,61.45,61.45,61.45,61.45,61.45,61.45,"9,200","5,65,340.00",-,-,-
VITALCOMM,EQ,2001-03-12,61.45,56.55,56.55,56.55,56.55,56.55,56.55,"1,051","59,434.05",-,-,-
VITALCOMM,EQ,2001-03-13,56.55,52.05,52.05,52.05,52.05,52.05,52.05,501,"26,077.05",-,-,-
VITALCOMM,EQ,2001-03-14,52.05,47.9,47.9,47.9,47.9,47.9,47.9,"17,500","8,38,250.00",-,-,-
VITALCOMM,EQ,2001-03-15,47.9,44.1,50.0,44.1,46.55,46.35,45.72,"91,180","41,68,796.00",-,-,-
VITALCOMM,EQ,2001-03-16,46.35,43.0,43.0,42.65,42.65,42.65,42.71,120,"5,125.00",-,-,-
VITALCOMM,EQ,2001-03-19,42.65,45.0,46.1,45.0,46.1,46.1,45.57,"18,991","8,65,474.10",-,-,-
VITALCOMM,EQ,2001-03-20,46.1,49.0,49.8,45.6,45.6,45.6,49.32,"22,880","11,28,526.10",-,-,-
VITALCOMM,EQ,2001-03-21,45.6,46.75,48.05,46.75,48.05,47.95,47.19,301,"14,203.05",-,-,-
VITALCOMM,EQ,2001-03-22,47.95,45.05,46.0,45.0,45.0,45.0,45.38,326,"14,795.00",-,-,-
VITALCOMM,EQ,2001-03-23,45.0,43.4,43.4,41.4,41.4,41.4,41.44,"3,673","1,52,214.20",-,-,-
VITALCOMM,EQ,2001-03-26,41.4,40.0,40.0,40.0,40.0,40.0,40.0,125,"5,000.00",-,-,-
VITALCOMM,EQ,2001-03-27,40.0,39.5,40.0,39.25,39.25,39.25,39.92,351,"14,011.75",-,-,-
VITALCOMM,EQ,2001-03-28,39.25,42.3,42.3,37.0,37.0,37.0,39.65,2,79.30,-,-,-
VITALCOMM,EQ,2001-03-29,37.0,38.0,39.8,37.0,39.8,39.8,39.79,"10,016","3,98,516.00",-,-,-
VITALCOMM,EQ,2001-03-30,39.8,36.65,36.65,36.65,36.65,36.65,36.65,1,36.65,-,-,-
VITALCOMM,EQ,2001-04-04,36.65,33.75,33.75,33.75,33.75,33.75,33.75,"2,400","81,000.00",-,-,-
VITALCOMM,EQ,2001-04-06,33.75,36.45,36.45,36.45,36.45,36.45,36.45,"1,500","54,675.00",-,-,-
VITALCOMM,EQ,2001-04-09,36.45,35.05,35.05,35.05,35.05,35.05,35.05,1,35.05,-,-,-
VITALCOMM,EQ,2001-04-10,35.05,34.0,34.0,34.0,34.0,34.0,34.0,300,"10,200.00",-,-,-
VITALCOMM,EQ,2001-04-11,34.0,34.0,35.0,34.0,35.0,35.0,34.91,110,"3,840.00",-,-,-
VITALCOMM,EQ,2001-04-12,35.0,34.9,34.9,34.9,34.9,34.9,34.9,1,34.90,-,-,-
VITALCOMM,EQ,2001-04-16,34.9,37.7,37.7,37.7,37.7,37.7,37.7,2,75.40,-,-,-
VITALCOMM,EQ,2001-04-19,37.7,34.7,34.7,34.7,34.7,34.7,34.7,150,"5,205.00",-,-,-
VITALCOMM,EQ,2001-04-20,34.7,31.95,31.95,31.95,31.95,31.95,31.95,3,95.85,-,-,-
VITALCOMM,EQ,2001-04-23,31.95,29.4,29.4,29.4,29.4,29.4,29.4,2,58.80,-,-,-
VITALCOMM,EQ,2001-04-24,29.4,27.05,27.05,27.05,27.05,27.05,27.05,5,135.25,-,-,-
VITALCOMM,EQ,2001-04-25,27.05,28.0,28.0,25.0,25.0,25.0,27.65,"1,700","47,000.00",-,-,-
VITALCOMM,EQ,2001-04-26,25.0,26.5,26.5,24.0,24.0,24.0,26.34,"1,600","42,150.00",-,-,-
VITALCOMM,EQ,2001-04-27,24.0,22.1,22.1,22.1,22.1,22.1,22.1,"1,000","22,100.00",-,-,-
VITALCOMM,EQ,2001-05-02,22.1,20.35,20.5,20.35,20.5,20.5,20.36,"12,250","2,49,467.50",-,-,-
VITALCOMM,EQ,2001-05-03,20.5,19.0,22.15,18.9,22.15,22.15,21.67,"39,698","8,60,057.55",-,-,-
VITALCOMM,EQ,2001-05-04,22.15,22.35,23.95,22.35,23.95,23.95,23.84,"10,810","2,57,758.50",-,-,-
VITALCOMM,EQ,2001-05-07,23.95,25.9,25.9,25.9,25.9,25.9,25.9,"2,000","51,800.00",-,-,-
VITALCOMM,EQ,2001-05-08,25.9,28.0,28.0,28.0,28.0,28.0,28.0,"12,200","3,41,600.00",-,-,-
VITALCOMM,EQ,2001-05-09,28.0,30.25,30.25,25.8,30.25,30.25,27.94,"1,14,380","31,95,830.70",-,-,-
VITALCOMM,EQ,2001-05-10,30.25,32.7,32.7,32.7,32.7,32.7,32.7,"10,425","3,40,897.50",-,-,-
VITALCOMM,EQ,2001-05-11,32.7,35.35,35.35,35.25,35.25,35.35,35.35,"30,860","10,90,855.90",-,-,-
VITALCOMM,EQ,2001-05-14,35.35,38.2,38.2,36.05,38.2,38.2,36.68,"18,575","6,81,350.00",-,-,-
VITALCOMM,EQ,2001-05-15,38.2,39.0,41.25,36.1,41.25,40.5,39.81,"29,733","11,83,640.40",-,-,-
VITALCOMM,EQ,2001-05-16,40.5,42.25,43.75,39.1,39.3,39.5,42.66,"14,856","6,33,694.40",-,-,-
VITALCOMM,EQ,2001-05-17,39.5,40.9,41.6,38.3,41.2,40.0,40.27,"7,137","2,87,439.80",-,-,-
VITALCOMM,EQ,2001-05-18,40.0,38.6,39.75,37.0,39.75,39.75,39.34,"4,135","1,62,690.40",-,-,-
VITALCOMM,EQ,2001-05-21,39.75,39.0,40.1,37.55,39.85,39.9,39.49,"31,748","12,53,740.30",-,-,-
VITALCOMM,EQ,2001-05-22,39.9,39.5,39.95,36.75,39.4,39.45,39.03,"59,695","23,29,728.05",-,-,-
VITALCOMM,EQ,2001-05-23,39.45,40.0,40.5,37.1,38.0,38.4,39.53,"26,506","10,47,743.20",-,-,-
