SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
WARRENTEA,EQ,1996-01-02,103.80,103.0,103.0,103.0,-,103.0,103.0,50,"5,150.00",-,-,-
WARRENTEA,EQ,1996-01-03,103.00,105.0,105.0,105.0,-,105.0,105.0,500,"52,500.00",-,-,-
WARRENTEA,EQ,1996-01-17,105.00,100.0,101.0,100.0,-,101.0,100.5,100,"10,050.00",-,-,-
WARRENTEA,EQ,1996-01-18,101.00,100.0,100.0,100.0,-,100.0,100.0,100,"10,000.00",-,-,-
WARRENTEA,EQ,1996-01-19,100.00,104.95,104.95,104.95,-,104.95,104.95,100,"10,495.00",-,-,-
WARRENTEA,EQ,1996-01-23,104.95,99.0,100.0,99.0,-,100.0,99.8,250,"24,950.00",-,-,-
WARRENTEA,EQ,1996-01-24,100.00,99.0,99.0,99.0,-,99.0,99.0,50,"4,950.00",-,-,-
WARRENTEA,EQ,1996-01-29,99.00,90.0,93.95,90.0,-,93.75,92.33,250,"23,082.50",-,-,-
WARRENTEA,EQ,1996-01-31,93.75,93.75,93.75,93.75,-,93.75,93.75,50,"4,687.50",-,-,-
WARRENTEA,EQ,1996-02-01,93.75,96.75,97.0,96.75,-,97.0,96.88,100,"9,687.50",-,-,-
WARRENTEA,EQ,1996-02-05,97.00,97.0,97.0,97.0,-,97.0,97.0,50,"4,850.00",-,-,-
WARRENTEA,EQ,1996-02-06,97.00,92.05,95.95,92.05,-,95.0,93.68,300,"28,105.00",-,-,-
WARRENTEA,EQ,1996-02-07,95.00,95.0,101.5,95.0,-,101.5,98.25,200,"19,650.00",-,-,-
WARRENTEA,EQ,1996-02-09,101.50,101.0,101.0,101.0,-,101.0,101.0,100,"10,100.00",-,-,-
WARRENTEA,EQ,1996-02-12,101.00,110.0,110.0,105.0,-,105.0,105.83,600,"63,500.00",-,-,-
WARRENTEA,EQ,1996-02-13,105.00,110.0,110.0,103.0,-,103.0,107.07,350,"37,475.00",-,-,-
WARRENTEA,EQ,1996-02-19,103.00,105.0,105.0,105.0,-,105.0,105.0,50,"5,250.00",-,-,-
WARRENTEA,EQ,1996-02-23,105.00,104.0,108.0,104.0,-,108.0,107.64,550,"59,200.00",-,-,-
WARRENTEA,EQ,1996-02-27,108.00,107.0,107.0,107.0,-,107.0,107.0,100,"10,700.00",-,-,-
WARRENTEA,EQ,1996-02-28,107.00,111.0,111.0,109.0,-,109.05,109.7,300,"32,910.00",-,-,-
WARRENTEA,EQ,1996-02-29,109.05,110.0,110.0,109.25,-,109.5,109.36,900,"98,425.00",-,-,-
WARRENTEA,EQ,1996-03-07,109.50,111.0,111.0,111.0,-,111.0,111.0,100,"11,100.00",-,-,-
WARRENTEA,EQ,1996-03-25,111.00,100.0,100.0,100.0,-,100.0,100.0,200,"20,000.00",-,-,-
WARRENTEA,EQ,1996-03-26,100.00,100.0,100.0,100.0,-,100.0,100.0,200,"20,000.00",-,-,-
WARRENTEA,EQ,1996-03-27,100.00,90.0,90.0,90.0,-,90.0,90.0,100,"9,000.00",-,-,-
WARRENTEA,EQ,1996-03-29,90.00,85.0,87.1,85.0,-,87.0,86.22,250,"21,555.00",-,-,-
WARRENTEA,EQ,1996-04-02,87.00,78.5,78.5,78.5,-,78.5,78.5,100,"7,850.00",-,-,-
WARRENTEA,EQ,1996-04-03,78.50,84.0,85.0,84.0,-,84.5,84.28,450,"37,925.00",-,-,-
WARRENTEA,EQ,1996-04-04,84.50,84.0,84.5,80.0,-,82.0,82.18,"1,400","1,15,050.00",-,-,-
WARRENTEA,EQ,1996-04-08,82.00,82.0,85.0,85.0,-,85.0,85.0,200,"17,000.00",-,-,-
WARRENTEA,EQ,1996-04-09,85.00,85.0,88.0,83.0,-,85.35,85.78,"1,000","85,775.00",-,-,-
WARRENTEA,EQ,1996-04-12,85.35,86.0,86.5,86.0,-,86.0,86.02,"1,100","94,625.00",-,-,-
WARRENTEA,EQ,1996-04-15,86.00,86.55,86.75,86.0,-,86.0,86.31,450,"38,840.00",-,-,-
WARRENTEA,EQ,1996-04-16,86.00,86.0,87.0,86.0,-,86.0,86.36,550,"47,500.00",-,-,-
WARRENTEA,EQ,1996-04-17,86.00,88.0,90.0,87.0,-,87.0,87.77,"1,350","1,18,485.00",-,-,-
WARRENTEA,EQ,1996-04-18,87.00,87.05,93.95,87.05,-,88.0,89.16,"2,200","1,96,150.00",-,-,-
WARRENTEA,EQ,1996-04-19,88.00,92.55,94.9,92.5,-,93.15,93.37,850,"79,367.50",-,-,-
WARRENTEA,EQ,1996-04-22,93.15,93.0,93.15,92.05,-,92.5,92.58,850,"78,695.00",-,-,-
WARRENTEA,EQ,1996-04-23,92.50,91.0,92.5,90.0,-,90.0,90.76,900,"81,680.00",-,-,-
WARRENTEA,EQ,1996-04-24,90.00,95.0,95.0,92.75,-,92.75,94.18,550,"51,800.00",-,-,-
WARRENTEA,EQ,1996-04-25,92.75,92.75,96.0,94.1,-,94.1,94.95,300,"28,485.00",-,-,-
WARRENTEA,EQ,1996-04-26,94.10,96.0,96.0,94.95,-,94.95,95.85,350,"33,547.50",-,-,-
WARRENTEA,EQ,1996-04-29,94.95,96.0,96.0,96.0,-,96.0,96.0,50,"4,800.00",-,-,-
